Label	Type	ID	Database	Comment
5,12 DiHETE	Metabolite			
CYP4A11	GeneProduct	ENSG00000187048	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:13117
LTA4H	GeneProduct	ENSG00000111144	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:16993
12(R)-HpETE
	Metabolite	LMFA03060070	LIPID MAPS	
5-HEDH	GeneProduct			
LTA4	Metabolite	LMFA03020023	LIPID MAPS	
LTB4R	Protein	ENSG00000213903	Ensembl	AKA Leukotriene B4 receptor 1[https://en.wikipedia.org/wiki/Leukotriene_B4_receptor_1]</br>Homology Mapping from Mus musculus to Homo sapiens: Original ID = S:O88855
LXA4	Metabolite			
MBD	Protein			
ALOX15B	Protein	ENSG00000179593	Ensembl	Alox15b (also termed 8-lipoxygenase, 8-lox, and 15-lipoxygenase type II) [https://en.wikipedia.org/wiki/Lipoxygenase#Mouse_lipoxygenases]</br>Homology Mapping from Mus musculus to Homo sapiens: Original ID = S:O35936
Arachidonic acid	Metabolite	LMFA01030001	LIPID MAPS	
GGT	Protein			
ALOX5	GeneProduct	ENSG00000012779	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:11689
15-HpETE	Metabolite	LMFA03060014	LIPID MAPS	"Various cell types metabolize arachidonic acid to 15(S)-hydroperoxyeicosatetraenoic acid (15(S)-HpETE). This initial hydroperoxide product is extremely short-lived in cells: if not otherwise metabolized, it is rapidly reduced to 15(S)-HETE." [https://en.wikipedia.org/wiki/15-Hydroxyeicosatetraenoic_acid]
15-HETE	Metabolite	LMFA03060087	LIPID MAPS	"Various cell types metabolize arachidonic acid to 15(S)-hydroperoxyeicosatetraenoic acid (15(S)-HpETE). This initial hydroperoxide product is extremely short-lived in cells: if not otherwise metabolized, it is rapidly reduced to 15(S)-HETE." [https://en.wikipedia.org/wiki/15-Hydroxyeicosatetraenoic_acid]
8-HpETE	Metabolite	LMFA03060073	LIPID MAPS	
8-HETE	Metabolite	LMFA03060086	LIPID MAPS	
15-oxoETE	Metabolite	LMFA03060051	LIPID MAPS	
ALOX15	GeneProduct	ENSG00000161905	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:11687
LXA4	Metabolite	LMFA03040001	LIPID MAPS	
HPGD	GeneProduct	ENSG00000164120	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:15446
12-HpETE	Metabolite	LMFA03060013	LIPID MAPS	AKA 12S-HpETE
12-HETE	Metabolite	LMFA03060088	LIPID MAPS	
12-oxoETE	Metabolite	LMFA03060019	LIPID MAPS	
ALOX12	GeneProduct	ENSG00000108839	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:11684
HXB3	Metabolite	LMFA03090003	LIPID MAPS	
HXA3	Metabolite	LMFA03090005	LIPID MAPS	
TXA3	Metabolite	LMFA03030005	LIPID MAPS	
TXB3	Metabolite	LMFA03030006	LIPID MAPS	
HXEH	GeneProduct			
12-HEDH	GeneProduct			
LXB4	Metabolite	LMFA03040002	LIPID MAPS	
LTB4	Metabolite	LMFA03020001	LIPID MAPS	
12-epi-LTB4	Metabolite	LMFA03020015	LIPID MAPS	
6-trans-12-epi-delta-LTB4	Metabolite	LMFA03020014	LIPID MAPS	
6-trans-delta-LTB4	Metabolite	LMFA03020013	LIPID MAPS	
LTC4	Metabolite	LMFA03020003	LIPID MAPS	
LTD4	Metabolite	LMFA03020006	LIPID MAPS	
LTE4	Metabolite	LMFA03020002	LIPID MAPS	
EXC4	Metabolite	LMFA03020031	LIPID MAPS	
EXD4	Metabolite	LMFA03020032	LIPID MAPS	
EXE4	Metabolite	LMFA03020033	LIPID MAPS	
20-hydroxy-LTB4	Metabolite	LMFA03020018	LIPID MAPS	
20-carboxy-LTB4	Metabolite	LMFA03020016	LIPID MAPS	
18-carboxy-
dinor-LTB4	Metabolite	LMFA03020057	LIPID MAPS	
11-trans-LTC4	Metabolite	LMFA03020020	LIPID MAPS	
11-trans-LTD4	Metabolite	LMFA03020021	LIPID MAPS	
11-trans-LTE4	Metabolite	LMFA03020022	LIPID MAPS	
5-HpETE	Metabolite	LMFA03060108	LIPID MAPS	
5-HETE	Metabolite	LMFA03060084	LIPID MAPS	
5-oxoETE	Metabolite	LMFA03060011	LIPID MAPS	
15-oxo-LXA4	Metabolite	LMFA03040009	LIPID MAPS	
13,14-dihydro-
