Label	Type	ID	Database	Comment
Smarcad1	GeneProduct	13990	Entrez Gene	full name: SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1
Crebbp	GeneProduct	12914	Entrez Gene	full name: CREB binding protein
Rel	GeneProduct	19696	Entrez Gene	full name: reticuloendotheliosis oncogene
Ctbp1	GeneProduct	13016	Entrez Gene	full name: C-terminal binding protein 1
Tert	GeneProduct	21752	Entrez Gene	full name: telomerase reverse transcriptase
Cdkn2a	GeneProduct	12578	Entrez Gene	full name: cyclin-dependent kinase inhibitor 2A
Mdm2	GeneProduct	17246	Entrez Gene	full name: transformed mouse 3T3 cell double minute 2
Cdkn1a	GeneProduct	12575	Entrez Gene	full name: cyclin-dependent kinase inhibitor 1A (P21)
Zfp143	GeneProduct	20841	Entrez Gene	full name: zinc finger protein 143
Nr2f2	GeneProduct	11819	Entrez Gene	full name: nuclear receptor subfamily 2, group F, member 2
Nr2f1	GeneProduct	13865	Entrez Gene	full name: nuclear receptor subfamily 2, group F, member 1
Sp1	GeneProduct	20683	Entrez Gene	full name: trans-acting transcription factor 1
Xist	GeneProduct	213742	Entrez Gene	full name: inactive X specific transcripts
Mpl	GeneProduct	17480	Entrez Gene	full name: myeloproliferative leukemia virus oncogene
Fgf4	GeneProduct	14175	Entrez Gene	full name: fibroblast growth factor 4
Tcfcp2l1	GeneProduct	81879	Entrez Gene	full name: transcription factor CP2-like 1
Mycn	GeneProduct	18109	Entrez Gene	full name: v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)
Bmpr2	GeneProduct	12168	Entrez Gene	full name: bone morphogenic protein receptor, type II (serine/threonine kinase)
Smad4	GeneProduct	17128	Entrez Gene	full name: MAD homolog 4 (Drosophila)
Notch1	GeneProduct	18128	Entrez Gene	full name: Notch gene homolog 1 (Drosophila)
Rras	GeneProduct	20130	Entrez Gene	full name: Harvey rat sarcoma oncogene, subgroup R
Wnt5a	GeneProduct	22418	Entrez Gene	full name: wingless-related MMTV integration site 5A
Pias2	GeneProduct	17344	Entrez Gene	full name: protein inhibitor of activated STAT 2
Psen1	GeneProduct	19164	Entrez Gene	full name: Presenilin 1
Tpo	GeneProduct	22018	Entrez Gene	full name: thyroid peroxidase
Dkk1	GeneProduct	13380	Entrez Gene	full name: dickkopf homolog 1 (Xenopus laevis)
Cer1	GeneProduct	12622	Entrez Gene	full name: cerberus 1 homolog (Xenopus laevis)
Nfkb1	GeneProduct	18033	Entrez Gene	full name: nuclear factor of kappa light polypeptide gene enhancer in B-cells 1, p105
Lefty1	GeneProduct	13590	Entrez Gene	full name: left right determination factor 1
Ptprs	GeneProduct	19280	Entrez Gene	full name: protein tyrosine phosphatase, receptor type, S
Fbxo15	GeneProduct	50764	Entrez Gene	full name: F-box protein 15
Cdk2ap1	GeneProduct	13445	Entrez Gene	full name: CDK2 (cyclin-dependent kinase 2)-associated protein 1
Mbd2	GeneProduct	17191	Entrez Gene	full name: methyl-CpG binding domain protein 2
Mbd3	GeneProduct	17192	Entrez Gene	full name: methyl-CpG binding domain protein 3
Ep400	GeneProduct	75560	Entrez Gene	full name: E1A binding protein p400
Ogt	GeneProduct	108155	Entrez Gene	full name: O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
Ube2i	GeneProduct	22196	Entrez Gene	full name: ubiquitin-conjugating enzyme E2I
Med12	GeneProduct	59024	Entrez Gene	full name: mediator of RNA polymerase II transcription, subunit 12 homolog (yeast)
Hdac2	GeneProduct	15182	Entrez Gene	full name: Histone deacetylase 2
