Label	Type	ID	Database	Comment
ATP	Metabolite	CHEBI:30616	ChEBI	
3-keto-sphinganine	Metabolite	LMSP01020002	LIPID MAPS	
Ppap2a	Protein			No homologues found for original id L:19012
CERK	Protein	ENSG00000100422	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:223753
SGPP1	Protein	ENSG00000126821	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = S:Q9JI99
ASAH1	Protein	ENSG00000104763	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = S:Q9WV54
Palmitoyl-CoA	Metabolite	LMFA07050360	LIPID MAPS	aka CoA(16:0)
SGMS1	Protein	ENSG00000198964	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:208449
SPHK2	Protein	ENSG00000063176	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = S:Q9JIA7
SGPL1	Protein	ENSG00000166224	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:20397
UGCG	Protein	ENSG00000148154	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:22234
Serine	Metabolite	5951	PubChem-compound	
Hexadecanal	Metabolite	LMFA06000088	LIPID MAPS	
SPTLC1	Protein	ENSG00000090054	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:268656
SPHK1	Protein	ENSG00000176170	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = S:Q8CI15
DEGS1	Protein	ENSG00000143753	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:13244
KDSR	Protein	ENSG00000119537	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = S:Q6GV12
SPTLC2	Protein	ENSG00000100596	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = S:P97363
Ethanolamine-phosphate	Metabolite	1015	PubChem-compound	
H2O	Metabolite	CHEBI:15377	ChEBI	
Sphingosine	Metabolite	LMSP01010001	LIPID MAPS	
Sphinganine	Metabolite	LMSP01020001	LIPID MAPS	
Sphinganine-1-phosphate	Metabolite	LMSP01050002	LIPID MAPS	
DH-Ceramide	Metabolite	LMSP02020000	LIPID MAPS	
CERS4	Protein	ENSG00000090661	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:67260
CERS4	Protein	ENSG00000090661	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:67260
CERS6	Protein	ENSG00000172292	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:241447
Ceramide	Metabolite	LMSP02010000	LIPID MAPS	
Cer-1-P	Metabolite	LMSP02050000	LIPID MAPS	
DH-Cer-1-P	Metabolite	LMSP020500A0	LIPID MAPS	
SM	Metabolite	LMSP0301	LIPID MAPS	
Glc-Cer	Metabolite	LMSP0501AA00	LIPID MAPS	
DH-SM	Metabolite	LMSP030100A0	LIPID MAPS	
DH-Glc-Cer	Metabolite		LIPID MAPS	
Gal-Cer	Metabolite	LMSP0501AC00	LIPID MAPS	
DH-Gal-Cer	Metabolite		LIPID MAPS	
SMPD1	Protein	ENSG00000166311	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:20597
DEGS2	Protein	ENSG00000168350	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:70059
SGMS2	Protein	ENSG00000164023	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:74442
Sphingosine-1-phosphate	Metabolite	LMSP01050001	LIPID MAPS	
1-Hexadecenal	Metabolite	LMFA06000088	LIPID MAPS	
PLPP3	Protein	ENSG00000162407	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:67916
Ppap2c	Protein			
CoA(16:0)	Metabolite	LMFA07050360	LIPID MAPS	
UGT8	Protein	ENSG00000174607	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:22239
CoA(18:0)	Metabolite	CHEBI:15541	ChEBI	
CoA(20:0)	Metabolite	CHEBI:15527	ChEBI	
CoA(22:0)	Metabolite	24330-89-0	CAS	
CoA(24:0)	Metabolite	24305-30-4	CAS	
CoA(24:1)	Metabolite	88362-35-0	CAS	
CoA(16:0)	Metabolite	LMFA07050360	LIPID MAPS	
CoA(18:0)	Metabolite	CHEBI:15541	ChEBI	
CoA(20:0)	Metabolite	CHEBI:15527	ChEBI	
CoA(22:0)	Metabolite	24330-89-0	CAS	AKA "Coenzyme A, S-​docosanoate"
CoA(24:0)	Metabolite	24305-30-4	CAS	AKA "Coenzyme A, S-​(tetracosanoate)​"
CoA(24:1)	Metabolite	88362-35-0	CAS	AKA "Coenzyme A, S-​(15Z)​-​15-​tetracosenoate"
DH-Ceramide	Metabolite	LMSP02020000	LIPID MAPS	
DH-Ceramide	Metabolite	LMSP02020000	LIPID MAPS	
DH-Ceramide	Metabolite	LMSP02020000	LIPID MAPS	
DH-Ceramide	Metabolite	LMSP02020000	LIPID MAPS	
CERS1	Protein	ENSG00000223802	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = S:P27545
CERS4	Protein	ENSG00000090661	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:67260
CERS2	Protein	ENSG00000143418	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:76893
CoA(26:0)	Metabolite	99313-57-2	CAS	AKA "Coenzyme A, S-​hexacosanoate"
CoA(26:1)	Metabolite			
DH-Ceramide	Metabolite	LMSP02020000	LIPID MAPS	
CERS3	Protein	ENSG00000154227	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = S:Q1A3B0
CoA(26:0)	Metabolite	99313-57-2	CAS	
CoA(26:1)	Metabolite			
ADP	Metabolite	CHEBI:456216	ChEBI	
SGPP2	Protein	ENSG00000163082	Ensembl	Homology Mapping from Mus musculus to Homo sapiens: Original ID = S:Q810K3
