Label	Type	ID	Database	Comment
Methionine	Metabolite	CHEBI:16643	ChEBI	
Sulphocysteine	Metabolite	CHEBI:27891	ChEBI	
Cystathionine	Metabolite	CHEBI:17482	ChEBI	
ADKD	GeneProduct	ENSG00000156110	Ensembl	aka Adenosine kinase
Sulfate	Metabolite	HMDB0001448	HMDB	
Taurine	Metabolite	CHEBI:15891	ChEBI	
Sulfite	Metabolite	CHEBI:26823	ChEBI	
S-Adenosylmethionine	Metabolite	CHEBI:67040	ChEBI	
Cysteine	Metabolite	CHEBI:15356	ChEBI	
CSAT	Protein	2.6.1.-	Enzyme Nomenclature	cysteine sulphinate alpha-oxoglutarate aminotransferase</br>Not available in Uniprot (yet) 2021-01-17
Methionine adenosyltransferase I/III	Protein	2.5.1.6	Enzyme Nomenclature	
X-MT	Protein			S-adenosylmethionine-dependent 
transmethylation enzymes
Vit. B12
pathway	Pathway	WP4271	WikiPathways	
CyD	Protein	Q16878	Uniprot-TrEMBL	Cysteine dioxygenase type 1
CySD	Protein	Q9Y600	Uniprot-TrEMBL	Cysteine sulfinic acid decarboxylase
SUOX	GeneProduct	1.8.3.1	Enzyme Nomenclature	Sulfite oxidase
HTOx	Protein	1.8.1.3	Enzyme Nomenclature	hypothaurine:NAD+ oxidoreductase</br>Two known cofactors: heme,Molybdenum
Adenosine	Metabolite	CHEBI:16335	ChEBI	
S-Adenosylhomocysteine	Metabolite	CHEBI:16680	ChEBI	
Methyl-
cobalamin	Metabolite	CHEBI:28115	ChEBI	"This vitamer is one of two active coenzymes used by vitamin B12-dependent enzymes and is the specific vitamin B12 form used by 5-methyltetrahydrofolate-homocysteine methyltransferase (MTR), also known as methionine synthase" https://en.wikipedia.org/wiki/Methylcobalamin
MS	Protein	Q99707	Uniprot-TrEMBL	5-methyltetrahydrofolate-homocysteine methyltransferase
Hypotaurine	Metabolite	CHEBI:16668	ChEBI	
Build proteins	Pathway	WP3580	WikiPathways	
Glycine	Metabolite	HMDB0000123	HMDB	
BMT	Protein	E5RJH0	Uniprot-TrEMBL	aka Betaine--homocysteine
 S-methyltransferase 1
Betaine	Metabolite	CHEBI:17750	ChEBI	
MAT2A	Protein	B4DEX8	Uniprot-TrEMBL	
AHCY	Protein	P23526	Uniprot-TrEMBL	S-adenosylhomocysteine hydrolase
Cysteine sulfinic acid
	Metabolite	CHEBI:61085	ChEBI	aka 3-sulfino-L-alanine
ATP	Metabolite	CHEBI:15422	ChEBI	
CBS	GeneProduct	ENSG00000160200	Ensembl	cystathioniune beta-synthase
AMP	Metabolite	CHEBI:16027	ChEBI	
MAT1A	Protein	Q00266	Uniprot-TrEMBL	
Sarcosine	Metabolite	CHEBI:15611	ChEBI	
Diphosphate ion	Metabolite	Q290828	Wikidata	
GNMT	Protein	Q14749	Uniprot-TrEMBL	
Beta-Sulfinyl pyruvate	Metabolite	HMDB0002332	HMDB	
Homocysteine	Metabolite	CHEBI:17230	ChEBI	
Phosphate ion	Metabolite	Q177811	Wikidata	
Methylation on
DNA, RNA, hormones,
Lipids, proteins, 
Creatine-P etc.	Pathway	WP704	WikiPathways	
Methyl-
cobalamin	Metabolite	CHEBI:28115	ChEBI	"This vitamer is one of two active coenzymes used by vitamin B12-dependent enzymes and is the specific vitamin B12 form used by 5-methyltetrahydrofolate-homocysteine methyltransferase (MTR), also known as methionine synthase" https://en.wikipedia.org/wiki/Methylcobalamin
MS	Protein	Q99707	Uniprot-TrEMBL	5-methyltetrahydrofolate-homocysteine methyltransferase
CTH	GeneProduct	ENSG00000116761	Ensembl	cystathioniune gamma-lyase
MAT2B	Protein	H7C0X7	Uniprot-TrEMBL	
H2O	Metabolite	CHEBI:15377	ChEBI	
Vit. B12
pathway	Pathway	WP4271	WikiPathways	
