"id"	"url"	"name"	"species"	"revision"	"authors"	"last"	"communities"	"ontologies"
"WP554"	"https://www.wikipathways.org/index.php/Pathway:WP554"	"ACE inhibitor pathway"	"Homo sapiens"	"118788"	"C.F.Thorn, MaintBot, Jinwook, Khanspers, AlexanderPico, Thomas, MartijnVanIersel, Egonw, Christine Chichester, Nuno, DeSl, Mkutmon, Eweitz"	2021-06-01	""	"- id: PW:0000245|,|  value: angiotensin signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0001228|,|  value: ACE inhibitor drug pathway|,|  type: Pathway Ontology|;|- id: DOID:10763|,|  value: hypertension|,|  type: Disease|;|- id: CL:0000650|,|  value: mesangial cell|,|  type: Cell Type"
"WP528"	"https://www.wikipathways.org/index.php/Pathway:WP528"	"Acetylcholine synthesis"	"Homo sapiens"	"116805"	"A.Kwa, MaintBot, Khanspers, Hubert, MartijnVanIersel, Thomas, Egonw, Ariutta, Anwesha, Mkutmon, Eweitz"	2021-05-14	""	"- id: PW:0000408|,|  value: acetylcholine metabolic pathway|,|  type: Pathway Ontology"
"WP236"	"https://www.wikipathways.org/index.php/Pathway:WP236"	"Adipogenesis"	"Homo sapiens"	"105873"	"M.Patti, MaintBot, Khanspers, Nsalomonis, MartijnVanIersel, AlexanderPico, AMTan"	2019-08-16	""	"- id: PW:0000650|,|  value: signaling pathway pertinent to development|,|  type: Pathway Ontology|;|- id: CL:0002334|,|  value: preadipocyte|,|  type: Cell Type"
"WP106"	"https://www.wikipathways.org/index.php/Pathway:WP106"	"Alanine and aspartate metabolism"	"Homo sapiens"	"114258"	"L.M.Ferrante, MaintBot, Khanspers, Andra, Michiel, MartijnVanIersel, AlexanderPico, Christine Chichester, Egonw, Mkutmon"	2021-01-02	""	"- id: PW:0000011|,|  value: amino acid metabolic pathway|,|  type: Pathway Ontology|;|- id: PW:0000028|,|  value: alanine, aspartate and glutamate metabolic pathway|,|  type: Pathway Ontology"
"WP244"	"https://www.wikipathways.org/index.php/Pathway:WP244"	"Alpha 6 beta 4 signaling pathway"	"Homo sapiens"	"117645"	"A.Pandey, 212.48.140.65, MaintBot, Nsalomonis, Khanspers, MartijnVanIersel, Mkutmon, Egonw, L Dupuis, Eweitz"	2021-05-22	""	"- id: DOID:8406|,|  value: Signal Transduction Pathway Deregulation|,|  type: Disease|;|- id: DOID:0000405|,|  value: disease of response to stimulus|,|  type: Disease|;|- id: PW:0000286|,|  value: integrin mediated signaling pathway|,|  type: Pathway Ontology"
"WP138"	"https://www.wikipathways.org/index.php/Pathway:WP138"	"Androgen receptor signaling pathway"	"Homo sapiens"	"115904"	"A.Pandey, MaintBot, Nsalomonis, Andra, AlexanderPico, Khanspers, MartijnVanIersel, NetPath, Robertbaertsch, Mkutmon, Zari, L Dupuis, Egonw"	2021-03-20	""	"- id: DOID:8406|,|  value: Signal Transduction Pathway Deregulation|,|  type: Disease|;|- id: PW:0000564|,|  value: androgen signaling pathway|,|  type: Pathway Ontology"
"WP254"	"https://www.wikipathways.org/index.php/Pathway:WP254"	"Apoptosis"	"Homo sapiens"	"118382"	"A.C.Zambon, MaintBot, AlexanderPico, Thomas, Susan, Angelika, B.Lawlor, MartijnVanIersel, Gillespm, Khanspers, Jildau, Ariutta, Nuno, Egonw, Mkutmon, MirellaKalafati, JosipMadunic, Anam"	2021-05-27	""	"- id: PW:0000009|,|  value: apoptotic cell death pathway|,|  type: Pathway Ontology|;|- id: PW:0000009|,|  value: programmed cell death pathway|,|  type: Pathway Ontology|;|- id: PW:0000004|,|  value: regulatory pathway|,|  type: Pathway Ontology|;|- id: PW:0000275|,|  value: cell death pathway|,|  type: Pathway Ontology|;|- id: PW:0000009|,|  value: apoptotic cell death pathway|,|  type: Pathway Ontology"
"WP23"	"https://www.wikipathways.org/index.php/Pathway:WP23"	"B cell receptor signaling pathway"	"Homo sapiens"	"117659"	"A.Pandey, MaintBot, Khanspers, Mkutmon, MartijnVanIersel, NetPath, Christine Chichester, Zari, AlexanderPico, L Dupuis, Egonw, Eweitz"	2021-05-22	""	"- id: CL:0000236|,|  value: B cell|,|  type: Cell Type|;|- id: PW:0000818|,|  value: signaling pathway pertinent to immunity|,|  type: Pathway Ontology|;|- id: PW:0000822|,|  value: B cell receptor signaling pathway|,|  type: Pathway Ontology"
"WP550"	"https://www.wikipathways.org/index.php/Pathway:WP550"	"Biogenic amine synthesis"	"Homo sapiens"	"119093"	"AlexanderPico, MaintBot, Khanspers, Thomas, MartijnVanIersel, Christine Chichester, Egonw, Evelo, AAR&Co, Mkutmon, Eweitz, Finterly"	2021-06-17	""	"- id: PW:0000436|,|  value: amine neurotransmitter metabolic pathway|,|  type: Pathway Ontology|;|- id: PW:0001234 |,|  value: biogenic amine biosynthetic pathway|,|  type: Pathway Ontology"
"WP272"	"https://www.wikipathways.org/index.php/Pathway:WP272"	"Blood clotting cascade"	"Homo sapiens"	"118424"	"A.Kwa, MaintBot, Khanspers, Thomas, Andra, Lslabim, Mkutmon, Egonw, Eweitz"	2021-05-27	""	"- id: PW:0000474|,|  value: coagulation cascade pathway|,|  type: Pathway Ontology|;|- id: PW:0000475|,|  value: hemostasis pathway|,|  type: Pathway Ontology|;|- id: DOID:1247|,|  value: blood coagulation disorder|,|  type: Disease|;|- id: PW:0000474|,|  value: coagulation cascade pathway|,|  type: Pathway Ontology"
"WP536"	"https://www.wikipathways.org/index.php/Pathway:WP536"	"Calcium regulation in cardiac cells"	"Homo sapiens"	"116854"	"Nsalomonis, MaintBot, Susan, Thomas, J.Fong, N.Cotte, Amcuser, Jildau, Khanspers, AlexanderPico, MartijnVanIersel, Christine Chichester, Metalmephisto, DeSl, Marvin M2, Fehrhart, Egonw, Eweitz"	2021-05-14	""	"- id: PW:0000103|,|  value: transport pathway|,|  type: Pathway Ontology|;|- id: CL:0000746|,|  value: cardiac muscle cell|,|  type: Cell Type|;|- id: DOID:1287|,|  value: cardiovascular system disease|,|  type: Disease|;|- id: PW:0001140|,|  value: calcium/calcium-mediated signaling pathway|,|  type: Pathway Ontology"
"WP45"	"https://www.wikipathways.org/index.php/Pathway:WP45"	"G1 to S cell cycle control"	"Homo sapiens"	"106424"	"A.C.Zambon, MaintBot, Khanspers, Mark.scott, AlexanderPico, Christine Chichester, Zari, Ryanmiller, DeSl"	2019-08-28	""	"- id: PW:0000094|,|  value: cell cycle checkpoint pathway|,|  type: Pathway Ontology|;|- id: PW:0000095|,|  value: G1/S DNA damage checkpoint pathway|,|  type: Pathway Ontology"
"WP179"	"https://www.wikipathways.org/index.php/Pathway:WP179"	"Cell cycle"	"Homo sapiens"	"116693"	"Nsalomonis, MaintBot, Susan, IlianaSach, BruceConklin, Dmitriev200, BadrulYahaya, Thomas, MartijnVanIersel, AlexanderPico, Christine Chichester, Mkutmon, JosipMadunic, Khanspers, DeSl, Egonw, Eweitz"	2021-05-09	""	"- id: PW:0000094|,|  value: cell cycle checkpoint pathway|,|  type: Pathway Ontology|;|- id: PW:0000086 |,|  value: cell cycle pathway, mitotic|,|  type: Pathway Ontology"
"WP410"	"https://www.wikipathways.org/index.php/Pathway:WP410"	"Exercise-induced circadian regulation"	"Homo sapiens"	"117108"	"A.C.Zambon, MaintBot, Thomas, AlexanderPico, Khanspers, MartijnVanIersel, Mkutmon, AMTan, Eweitz"	2021-05-17	""	"- id: PW:0000004|,|  value: regulatory pathway|,|  type: Pathway Ontology|;|- id: CL:0000188|,|  value: cell of skeletal muscle|,|  type: Cell Type"
"WP545"	"https://www.wikipathways.org/index.php/Pathway:WP545"	"Complement activation"	"Homo sapiens"	"116815"	"Nsalomonis, MaintBot, Khanspers, Michiel, Christine Chichester, Mkutmon, AlexanderPico, Egonw, Eweitz"	2021-05-14	""	"- id: PW:0000234|,|  value: innate immune response pathway|,|  type: Pathway Ontology|;|- id: PW:0000023|,|  value: immune response pathway|,|  type: Pathway Ontology|;|- id: PW:0000503|,|  value: classical complement pathway|,|  type: Pathway Ontology"
"WP558"	"https://www.wikipathways.org/index.php/Pathway:WP558"	"Complement and coagulation cascades"	"Homo sapiens"	"119232"	"169.230.77.174, MaintBot, Thomas, Khanspers, Lslabim, AlexanderPico, Ddigles, Zari, Egonw, Lindarieswijk, Fehrhart, DeSl, Eweitz, Finterly"	2021-06-22	""	"- id: DOID:0000405|,|  value: disease of response to stimulus|,|  type: Disease|;|- id: PW:0000474|,|  value: coagulation cascade pathway|,|  type: Pathway Ontology|;|- id: PW:0000475|,|  value: hemostasis pathway|,|  type: Pathway Ontology|;|- id: DOID:1247|,|  value: blood coagulation disorder|,|  type: Disease|;|- id: PW:0000502|,|  value: complement system pathway|,|  type: Pathway Ontology"
