Label	Type	ID	Database	Comment
KE888: Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)	Event	888	aop.events:888	
Autophagy	Pathway	WP4923	wikipathways:WP4923	
Necrosis	Pathway	WP5022	wikipathways:WP5022	
Deguelin	Metabolite	CHEBI:4357	chebi:4357	
Decreased proximal tubule vectorial transport	Pathway	WP4917	wikipathways:WP4917	
Decreased mitochondrial oxidative phosphorylation	Pathway	WP111	wikipathways:WP111	
Apoptosis	Pathway	WP1772	wikipathways:WP1772	
Ferroptosis	Pathway	WP4313	wikipathways:WP4313	
Assembly of mitochondrial complex I	Pathway	WP4324	wikipathways:WP4324	
Oxidative stress response	Pathway	WP3941	wikipathways:WP3941	
Impaired proteostasis	Pathway	WP4918	wikipathways:WP4918	
Unfolded Protein Response	Pathway	WP4925	wikipathways:WP4925	
Rotenone	Event	50	aop.stressor:50	
KE887: Inhibition, NADH-ubiquinone oxidoreductase (complex I)	Event	887	aop.events:887	
KE1477: Decrease, OXPHOS	Event	1477	aop.events:1477	
KE1562: Decreased Na/K ATPase activity	Event	1562	aop.events:1562	
KE1563: Decreased proximal tubular vectorial transport	Event	1563	aop.events:1563	
KE1564: Chemical induced Fanconi syndrome	Event	1564	aop.events:1564	
KE55: N/A, Cell injury/death	Event	55	aop.events:55	
KE889: Impaired, Proteostasis	Event	889	aop.events:889	
