Label	Type	ID	Database	
Nicotinic acid 
mononucleotide	Metabolite	CHEBI:37008	ChEBI
3-hydroxyanthranilate 
dioxygenase	Protein	P46952	Uniprot-TrEMBL
NAD+-consuming 
enzymes	Protein		Uniprot-TrEMBL
Nrk1	Protein	Q9NWW6	Uniprot-TrEMBL
NMN	Metabolite	Q27094156	Wikidata
NAD+	Metabolite	Q28775	Wikidata
Nicotinic acid adenine 
dinucleotide (NaAD+)	Metabolite	Q905651	Wikidata
Nicotinuric acid	Metabolite	Q27107528	Wikidata
5-HT	Metabolite	Q167934	Wikidata
IDO	Protein	P14902	Uniprot-TrEMBL
protein 
synthesis	Pathway		
Naprt	Protein	Q6XQN6	Uniprot-TrEMBL
3-HAO	Protein	P46952	Uniprot-TrEMBL
N-methylnicotinamide	Metabolite	Q27088080	Wikidata
Tryptophan (Trp)	Metabolite	Q181003	Wikidata
L-alanine	Metabolite	Q218642	Wikidata
PBEF	Protein	P43490	Uniprot-TrEMBL
2-Amino-3-carboxymuconate
semialdehyde	Metabolite	5280673	PubChem-compound
Nmnat1	Protein	Q9HAN9	Uniprot-TrEMBL
Serotonin/melatonin 
production	Pathway	WP3298	WikiPathways
ADP-ribosyl	Metabolite	Q27074316	Wikidata
NR	Metabolite	Q3334152	Wikidata
Nadsyn1	Protein	Q6IA69	Uniprot-TrEMBL
N-formyl kynurenine	Metabolite	Q27104120	Wikidata
L-kynurenine	Metabolite	Q415768	Wikidata
3-OH kynurenine (HK)	Metabolite	Q2815992	Wikidata
3-OH anthranilic acid (HAA)	Metabolite	Q2823213	Wikidata
Quinolinic acid (QA)	Metabolite	Q411945	Wikidata
Nicotinic acid (NA)	Metabolite	Q11324215	Wikidata
Nicotinamide	Metabolite	Q192423	Wikidata
Kynurenic acid (KA)	Metabolite	Q642217	Wikidata
Xanthurenic acid (XA)	Metabolite	Q5961262	Wikidata
Anthranilic acid (AA)	Metabolite	Q385140	Wikidata
TDO	Protein	P48775	Uniprot-TrEMBL
AFMID	Protein	Q63HM1	Uniprot-TrEMBL
KAT	Protein	Q8N5Z0	Uniprot-TrEMBL
K3H	Protein	O15229	Uniprot-TrEMBL
KYNU	Protein	Q16719	Uniprot-TrEMBL
QPRT	Protein	Q15274	Uniprot-TrEMBL
KYNU	Protein	Q16719	Uniprot-TrEMBL
Indoxyl acetic acid (IAA)	Metabolite	Q411208	Wikidata
Nmnat2	Protein	Q9BZQ4	Uniprot-TrEMBL
Nmnat3	Protein	Q96T66	Uniprot-TrEMBL
Nam	Metabolite	Q192423	Wikidata
Nrk2	Protein	Q9NPI5	Uniprot-TrEMBL
