Label	Type	ID	Database	
One carbon
metabolism	Pathway	WP241	WikiPathways
a ubiquinone	Metabolite	CHEBI:16389	ChEBI
Mevalonate
pathway	Pathway	WP3963	WikiPathways
PDSS1	Protein	Q5T2R2	Uniprot-TrEMBL
Riboflavin 
kinase	Protein	Q969G6	Uniprot-TrEMBL
Pyrimidine metabolism
and related disorders	Pathway	WP4225	WikiPathways
FADH2	Metabolite	CHEBI:58307	ChEBI
CABC1	Protein	Q8NI60	Uniprot-TrEMBL
6 PP	Metabolite	CHEBI:33019	ChEBI
OXPHOS	Pathway	WP111	WikiPathways
FMN	Metabolite	CHEBI:58210	ChEBI
APTX	Protein	Q7Z2E3	Uniprot-TrEMBL
trans-deca
prenyl-PP	Metabolite	CHEBI:60721	ChEBI
CETF	GeneProduct	IPR014730	InterPro
FAD 
synthetase	Protein	Q8NFF5	Uniprot-TrEMBL
CoQ10	Metabolite	CHEBI:46245	ChEBI
ETFDH gene	GeneProduct	ENSG00000171503	Ensembl
6 IPP	Metabolite	CHEBI:128769	ChEBI
ETFDH	Protein	Q16134	Uniprot-TrEMBL
Farnesyl-PP	Metabolite	CHEBI:175763	ChEBI
AMP	Metabolite	CHEBI:16027	ChEBI
RIB	Metabolite	CHEBI:17015	ChEBI
SLC52A1	Protein	Q9NWF4	Uniprot-TrEMBL
FMN	Metabolite	CHEBI:17621	ChEBI
RIB	Metabolite	CHEBI:17015	ChEBI
FAD	Metabolite	CHEBI:16238	ChEBI
SLC52A2	Protein	Q9HAB3	Uniprot-TrEMBL
SLC52A3	Protein	SLC52A3	Uniprot-TrEMBL
ETFA	Protein	P13804	Uniprot-TrEMBL
ETFB	Protein	38117	Uniprot-TrEMBL
FAD	Metabolite	CHEBI:57692	ChEBI
a ubiquinol	Metabolite	CHEBI:17976	ChEBI
FAD	Metabolite	CHEBI:57692	ChEBI
FAD	Metabolite	CHEBI:57692	ChEBI
PHB	Metabolite	CHEBI:30763	ChEBI
DHB	Metabolite	CHEBI:64136	ChEBI
all-E-10PrP2	Metabolite	CHEBI:61011	ChEBI
COQ2	Protein	Q96H96	Uniprot-TrEMBL
PPi	Metabolite	CHEBI:29888	ChEBI
FAD 	Metabolite	CHEBI:16238	ChEBI
COQ6 	Protein	Q9Y2Z9	Uniprot-TrEMBL
DHDB	Metabolite	CHEBI:50775	ChEBI
Q10H2	Metabolite	CHEBI:64183	ChEBI
DMQ10H2	Metabolite	CHEBI:64181	ChEBI
DeMQ10H2	Metabolite	CHEBI:64182	ChEBI
MHDB	Metabolite	CHEBI:50776	ChEBI
DMPhOH	Metabolite	CHEBI:50774	ChEBI
MDMQ10H2	Metabolite	CHEBI:64180	ChEBI
COQ7 	Protein	Q99807	Uniprot-TrEMBL
Fe2+ 	Metabolite	CHEBI:29033	ChEBI
COQ9 	Protein	O75208	Uniprot-TrEMBL
PDSS2	Protein	Q86YH6	Uniprot-TrEMBL
trans-nona
prenyl-PP	Metabolite	CHEBI:58391	ChEBI
7 PP	Metabolite	CHEBI:33019	ChEBI
7 IPP	Metabolite	CHEBI:128769	ChEBI
