Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
citrate	Metabolite	chebi:16947						wikidata:Q55503059	chebi:16947;chebi:16947	inchikey:KRKNYBCHXYNGOX-UHFFFAOYSA-K
Glycine	Metabolite	hmdb:HMDB0000123							chebi:15428;chebi:15428	inchikey:DHMQDGOQFOQNFH-UHFFFAOYSA-N
8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanoic acid	Metabolite	hmdb:HMDB13639							chebi:169109;chebi:169109	inchikey:YNZQCBXDUUGFIX-UHFFFAOYSA-N
Allysine	Metabolite	hmdb:HMDB01263						wikidata:Q61298	chebi:17917;chebi:17917;chebi:17027;chebi:17027	inchikey:GFXYTQPNNXGICT-UHFFFAOYSA-N;inchikey:GFXYTQPNNXGICT-YFKPBYRVSA-N
MoCo	Metabolite	chebi:60525							chebi:60525	
L-cysteine	Metabolite	chebi:17561						wikidata:Q186474	chebi:17561;chebi:17561	inchikey:XUJNEKJLAYXESH-REOHCLBHSA-N
Biotinyl-5'-AMP	Metabolite	hmdb:HMDB04220								inchikey:UTQCSTJVMLODHM-CFYKWCKVSA-N
L-glutamic acid	Metabolite	chebi:16015						wikidata:Q26995161	chebi:16015;chebi:16015	inchikey:WHUUTDBJXJRKMK-VKHMYHEASA-N
Ammonia	Metabolite	hmdb:HMDB00051						wikidata:Q4087	chebi:16134;chebi:16134	inchikey:QGZKDVFQNNGYKY-UHFFFAOYSA-N
Phosphate	Metabolite	hmdb:HMDB01429						wikidata:Q177811	chebi:26078;chebi:18367;chebi:26078;chebi:18367	inchikey:NBIIXXVUZAFLBC-UHFFFAOYSA-K;inchikey:NBIIXXVUZAFLBC-UHFFFAOYSA-N
Crotonoyl-CoA	Metabolite	chebi:15473						wikidata:Q303169	chebi:15473;chebi:15473	inchikey:KFWWCMJSYSSPSK-PAXLJYGASA-N
L-serine	Metabolite	chebi:33384						wikidata:Q106345473	chebi:33384;chebi:33384	inchikey:MTCFGRXMJLQNBG-REOHCLBHSA-N
Allysine	Metabolite	hmdb:HMDB01263						wikidata:Q61298	chebi:17917;chebi:17917;chebi:17027;chebi:17027	inchikey:GFXYTQPNNXGICT-UHFFFAOYSA-N;inchikey:GFXYTQPNNXGICT-YFKPBYRVSA-N
Sulfate	Metabolite	hmdb:HMDB0001448							chebi:26836;chebi:26836	inchikey:QAOWNCQODCNURD-UHFFFAOYSA-N
Acetoacetyl-CoA	Metabolite	hmdb:HMDB01484						wikidata:Q2639429	chebi:15345;chebi:15345	inchikey:OJFDKHTZOUZBOS-CITAKDKDSA-N
Homocysteine	Metabolite	hmdb:HMDB00742						wikidata:Q192466	chebi:17230;chebi:17230;chebi:17588;chebi:17588	inchikey:FFFHZYDWPBMWHY-UHFFFAOYSA-N;inchikey:FFFHZYDWPBMWHY-VKHMYHEASA-N
Glutathione perfsulfide	Metabolite	chebi:58905						wikidata:Q27126333	chebi:58905;chebi:58905	inchikey:QBOLVLBSUGJHGB-WDSKDSINSA-M
Oxoadipic acid	Metabolite	hmdb:HMDB00225						wikidata:Q2823207	chebi:15753;chebi:15753	inchikey:FGSBNBBHOZHUBO-UHFFFAOYSA-N
Biocytin	Metabolite	hmdb:HMDB0003134							chebi:27870;chebi:27870	inchikey:BAQMYDQNMFBZNA-MNXVOIDGSA-N
L-Pipecolic acid	Metabolite	hmdb:HMDB00716						wikidata:Q27104171	chebi:30913;chebi:30913	inchikey:HXEACLLIILLPRG-YFKPBYRVSA-N
Uric acid	Metabolite	chebi:17775						wikidata:Q105522	chebi:17775;chebi:17775	inchikey:LEHOTFFKMJEONL-UHFFFAOYSA-N
NAD	Metabolite	hmdb:HMDB00902						wikidata:Q26987253	chebi:15846;chebi:15846;chebi:44215;chebi:44215	inchikey:BAWFJGJZGIEFAR-NNYOXOHSSA-O;inchikey:BAWFJGJZGIEFAR-NNYOXOHSSA-N
Biocytin	Metabolite	hmdb:HMDB0003134							chebi:27870;chebi:27870	inchikey:BAQMYDQNMFBZNA-MNXVOIDGSA-N
Glutaryl-CoA	Metabolite	chebi:15524						wikidata:Q3066713	chebi:15524;chebi:15524	inchikey:SYKWLIJQEHRDNH-CKRMAKSASA-N
