Label	Type	ID	Database	
SARS
infection	Pathway		
MAP2K1	GeneProduct	ENSG00000169032	Ensembl
MAP2K2	GeneProduct	ENSG00000126934	Ensembl
MAP3K1	GeneProduct	ENSG00000095015	Ensembl
MAP2K3	GeneProduct	ENSG00000034152	Ensembl
MAP3K9	GeneProduct	ENSG00000006432	Ensembl
MAP3K10	GeneProduct	ENSG00000130758	Ensembl
MAP3K11	GeneProduct	ENSG00000173327	Ensembl
MAPK9	GeneProduct	5601	Entrez Gene
JUN	GeneProduct	ENSG00000177606	Ensembl
FOS	GeneProduct	ENSG00000170345	Ensembl
MAPK11	GeneProduct	5600	Entrez Gene
MAPK13	GeneProduct	5603	Entrez Gene
DDIT3	GeneProduct	ENSG00000175197	Ensembl
MAPK12	GeneProduct	6300	Entrez Gene
MAP3K4	GeneProduct	ENSG00000085511	Ensembl
MAPK3	GeneProduct	5595	Entrez Gene
MAP2K7	GeneProduct	ENSG00000076984	Ensembl
MAPK1	GeneProduct	5594	Entrez Gene
ATF2	GeneProduct	ENSG00000115966	Ensembl
MAPK8	GeneProduct	5599	Entrez Gene
MAP2K4	GeneProduct	ENSG00000065559	Ensembl
EIF4E	GeneProduct	ENSG00000151247	Ensembl
MAPK14	GeneProduct	ENSG00000112062	Ensembl
S	Protein	Q89458416	Wikidata
RPS6KA3	GeneProduct	ENSG00000177189	Ensembl
3a	Protein	P59632	Uniprot-TrEMBL
FOS	GeneProduct	ENSG00000170345	Ensembl
BCL2	GeneProduct	ENSG00000171791	Ensembl
MAPK10	GeneProduct	5602	Entrez Gene
RPS6KA2	GeneProduct	ENSG00000071242	Ensembl
MAP2K6	GeneProduct	ENSG00000108984	Ensembl
RPS6KA1	GeneProduct	ENSG00000117676	Ensembl
RAF1	GeneProduct	ENSG00000132155	Ensembl
SARS, MERS, 229E
infection	Pathway		
3b	Protein	P59633	Uniprot-TrEMBL
VLP	Protein		
7a	Protein	P59635	Uniprot-TrEMBL
SARS, MERS, 
229E infection	Pathway		
SARS, 229E
IBV infection	Pathway		
S	Protein	Q89458416	Wikidata
3a	Protein	P59632	Uniprot-TrEMBL
7a	Protein	P59635	Uniprot-TrEMBL
N	Protein	Q89457519	Wikidata
3b	Protein	P59633	Uniprot-TrEMBL
6	Protein	P59634	Uniprot-TrEMBL
Cell survival 
and proliferation	Pathway		
Protein
synthesis	Pathway		
Apoptosis	Pathway		
Innate
immunity	Pathway		
Autophagy	Pathway		
IFI27	GeneProduct	3429	Entrez Gene
BST2	GeneProduct	684	Entrez Gene
JUNB	GeneProduct	3726	Entrez Gene
IFITM2	Protein	ENSG00000185201	Ensembl
IFITM3	Protein	ENSG00000142089	Ensembl
IFITM1	Protein	ENSG00000185885	Ensembl
IFI27	GeneProduct	3429	Entrez Gene
BST2	GeneProduct	684	Entrez Gene
IFITM2	Protein	ENSG00000185201	Ensembl
IFITM3	Protein	ENSG00000142089	Ensembl
IFITM1	Protein	ENSG00000185885	Ensembl
