Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Sphingosine	Metabolite	pubchem.compound:5280335						wikidata:Q46298	chebi:16393;chebi:16393	inchikey:WWUZIQQURGPMPG-KRWOKUGFSA-N
Ca2+	Metabolite	pubchem.compound:271						wikidata:Q23905776	chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Sphingosine-1-Phosphate	Metabolite	pubchem.compound:5283560						wikidata:Q418267	chebi:37550;chebi:37550	inchikey:DUYSYHSSBDVJSM-KRWOKUGFSA-N
PIP2	Metabolite	pubchem.compound:24742074								
IP3	Metabolite	pubchem.compound:439456						wikidata:Q26998374	chebi:16595;chebi:16595	inchikey:MMWCIQZXVOZEGG-XJTPDSDZSA-N
DAG	Metabolite	pubchem.substance:365								
Ca2+	Metabolite	pubchem.compound:271						wikidata:Q23905776	chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Ca2+	Metabolite	pubchem.compound:271						wikidata:Q23905776	chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Ca2+	Metabolite	pubchem.compound:271						wikidata:Q23905776	chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Ca2+	Metabolite	pubchem.compound:271						wikidata:Q23905776	chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
PIP3	Metabolite	pubchem.compound:101362114								
PIP2	Metabolite	pubchem.compound:24742074								
Sphingosine-1-Phosphate	Metabolite	pubchem.compound:5283560						wikidata:Q418267	chebi:37550;chebi:37550	inchikey:DUYSYHSSBDVJSM-KRWOKUGFSA-N
Monosialotetrahexosylganglioside	Metabolite	pubchem.compound:5497107						wikidata:Q10860794		inchikey:QPJBWNIQKHGLAU-BVLUPYCXSA-N
SMAD3	Protein	refseq:NP_005893.1								
MAP2K2	Protein	refseq:NP_109587.1								
FOXO3	Protein	refseq:NP_001446.1								
MAPK3	Protein	refseq:NP_002737.2								
RET	Protein	refseq:NP_066124.1								
GAB1	Protein	refseq:NP_997006.1								
PDLIM7	Protein	refseq:NP_005442.2								
EZR	Protein	refseq:NP_003370.2								
PCDHGB7	Protein	refseq:NP_061750.1								
RET	Protein	refseq:NP_066124.1								
PXN	Protein	refseq:NP_001074324.1								
CEBPB	Protein	refseq:NP_005185.2								
PTK2	Protein	refseq:NP_001339623.1								
CRK	Protein	refseq:NP_058431.2								
PLCG1	Protein	refseq:NP_002651.2								
GAB2	Protein	refseq:NP_536739.1								
SHC1	Protein	refseq:NP_001123512.1								
GRB2	Protein	refseq:NP_002077.1								
MAPK7	Protein	refseq:NP_620602.2								
GFRA2	Protein	refseq:NP_001486.4								
GDNF	Protein	refseq:2668								
GDNF	Protein	refseq:2668								
GFRA1	Protein	refseq:NP_005255.1								
GFRA1	Protein	refseq:NP_005255.1								
GDNF	Protein	refseq:2668								
GDNF	Protein	refseq:2668								
GFRA1	Protein	refseq:NP_005255.1								
RET	Protein	refseq:NP_066124.1								
GDNF	Protein	refseq:2668								
NCAM1	Protein	refseq:NP_001229536.1								
GDNF	Protein	refseq:2668								
GFRA3	Protein	refseq:NP_001487.2								
GDNF	Protein	refseq:2668								
GDNF	Protein	refseq:2668								
EfnA	Protein	refseq:NP_066124.1								
EphA	Protein	refseq:NP_066124.1								
MAP3K14	Protein	refseq:NP_003945.2								
NFKBIA	Protein	refseq:NP_065390.1								
NFKB2	Protein	refseq:NP_001070962.1								
RELA	Protein	refseq:NP_068810.3								
BCL2	Protein	refseq:NP_000624.2								
BCL2L2	Protein	refseq:NP_001186768.2								
PTPN11	Protein	refseq:NP_001317366.1								
PRKACA	Protein	refseq:NP_001291278.1								
SRC	Protein	refseq:NP_005408.1								
MAPK9	Protein	refseq:NP_002743.3								
MAPK1	Protein	refseq:NP_002736.3								
AKT1	Protein	refseq:NP_005154.2								
MAPK3	Protein	refseq:NP_002737.2								
MAPK8	Protein	refseq:NP_620637.1								
PIK3R1	Protein	refseq:NP_852664.1								
DOK1	Protein	refseq:NP_001372.1								
BCAR1	Protein	refseq:NP_001164185.1								
RASA1	Protein	refseq:NP_002881.1								
GRB7	Protein	refseq:NP_001229371.2								
GRB10	Protein	refseq:NP_001357938.1								
NRAS	Protein	refseq:NP_002515.1								
FOXO1	Protein	refseq:NP_002006.2								
RAF1	Protein	refseq:NP_001341618.1								
ATF1	Protein	refseq:NP_005162.1								
CREB1	Protein	refseq:NP_604391.1								
FRS2	Protein	refseq:NP_001265280.1								
MAPK14	Protein	refseq:NP_001306.1								
NCK1	Protein	refseq:NP_006144.1								
MAP3K3	Protein	refseq:NP_976226.1								
ROCK1	Protein	refseq:NP_005397.1								
RHOA	Protein	refseq:NP_001655.1								
MAP2K5	Protein	refseq:NP_660143.1								
MEF2C	Protein	refseq:NP_002388.2								
MAP2K1	Protein	refseq:NP_002746.1								
MAPK1	Protein	refseq:NP_002736.3								
ELK1	Protein	refseq:NP_001107595.1								
KCND2	Protein	refseq:NP_036413.1								
MET	Protein	refseq:NP_001120972.1								
FYN	Protein	refseq:NP_002028.1								
DOK6	Protein	refseq:NP_689934.2								
IKBKB	Protein	refseq:NP_001547.1								
CHUK	Protein	refseq:NP_001269.3								
RAC1	Protein	refseq:NP_061485.1								
FOXO1	Protein	refseq:NP_002006.2								
FOXO3	Protein	refseq:NP_001446.1								
NCS1	Protein	refseq:NP_055101.2								
DOK4	Protein	refseq:NP_060580.2								
RAP1A	Protein	refseq:NP_001010935.1								
ITGA5	Protein	refseq:NP_002196.4								
AKT1	Protein	refseq:NP_005154.2								
PTEN	Protein	refseq:NP_000305.3								
LRIG1	Protein	refseq:NP_056356.2								
BRAF	Protein	refseq:NP_004324.2								
PLCG2	Protein	refseq:NP_002652.2								
CALR	Protein	refseq:NP_004334.1								
RABEP1	Protein	refseq:NP_004694.2								
HSPB1	Protein	refseq:NP_001531.1								
HSPB1	Protein	refseq:NP_001531.1								
ITGB3	Protein	refseq:NP_000203.2								
GAD1	Protein	refseq:NP_000808.2								
GAD2	Protein	refseq:NP_000809.1								
SYP	Protein	refseq:NP_003170.1								
SYN1	Protein	refseq:NP_008881.2								
CREB1	Protein	refseq:NP_604391.1								
PIK3CB	Protein	refseq:NP_006210.1								
YWHAZ	Protein	refseq:NP_663723.1								
PCDHA4	Protein	refseq:NP_061730.1								
RAP1GAP	Protein	refseq:NP_001317312.1								
SPHK1	Protein	refseq:NP_892010.2								
S1PR1	Protein	refseq:NP_001391.2								
S1PR3	Protein	refseq:NP_005217.2								
NFKB2	Protein	refseq:NP_001070962.1								
RELA	Protein	refseq:NP_068810.3								
ITPR1	Protein	refseq:NP_001161744.1								
ITPR2	Protein	refseq:NP_002214.2								
CAMK2A	Protein	refseq:NP_057065.2								
CAMK2B	Protein	refseq:NP_001211.3								
APP	Protein	refseq:NP_000475.1								
MTOR	Protein	refseq:NP_004949.1								
CDH2	Protein	refseq:NP_001783.2								
SORL1	Protein	refseq:NP_003096.2								
GDNF	Protein	refseq:2668								
SORL1	Protein	refseq:NP_003096.2								
RET	Protein	refseq:NP_066124.1								
GFRA1	Protein	refseq:NP_005255.1								
SORL1	Protein	refseq:NP_003096.2								
RET	Protein	refseq:NP_066124.1								
GFRA1	Protein	refseq:NP_005255.1								
SORL1	Protein	refseq:NP_003096.2								
HIF1A	Protein	refseq:NP_001521.1								
VEGFA	Protein	refseq:NP_003367.4								
VAV2	Protein	refseq:NP_001127870.1								
SLC6A3	Protein	refseq:NP_001035.1								
RPTOR	Protein	refseq:NP_065812.1								
ST3GAL1	Protein	refseq:NP_003024.1								
SP1	Protein	refseq:NP_612482.2								
SP1	Protein	refseq:NP_612482.2								
ITGB1	Protein	refseq:NP_002202.2								
ITGA6	Protein	refseq:NP_001073286.1								
ITGA3	Protein	refseq:NP_002195.1								
AKT3	Protein	refseq:NP_005456.1								
CCNA2	Protein	refseq:NP_001228.2								
CCNB1	Protein	refseq:NP_114172.1								
CCNE1	Protein	refseq:NP_001229.1								
MYC	Protein	refseq:NP_002458.2								
BCL6B	Protein	refseq:NP_862827.2								
ETV5	Protein	refseq:NP_004445.1								
LHX1	Protein	refseq:NP_005559.2								
AGRN	Protein	refseq:NP_001292204.1								
TGFBR1	Protein	refseq:NP_001293139.1								
SMAD2	Protein	refseq:NP_001003652.1								
ROCK2	Protein	refseq:NP_004841.2								
ESR1	Protein	refseq:NP_000116.2								
PRKAR2A	Protein	refseq:NP_001308911.1								
GSK3B	Protein	refseq:NP_002084.2								
LYN	Protein	refseq:NP_002341.1								
YES1	Protein	refseq:NP_005424.1								
MYCN	Protein	refseq:NP_001280157.1								
CD2AP	Protein	refseq:NP_036252.1								
RET	Protein	refseq:NP_066124.1								
CBLC	Protein	refseq:NP_036248.3								
FAT4	Protein	refseq:NP_001278232.1								
DSG2	Protein	refseq:NP_001934.2								
SPRY2	Protein	refseq:NP_005833.1								
SH2B2	Protein	refseq:NP_001346157.1								
AP2M1	Protein	refseq:NP_001298127.1								
RPS6KB1	Protein	refseq:NP_001258971.1								
GFRA1	Protein	refseq:NP_005255.1								
GDNF	Protein	refseq:2668								
GDNF	Protein	refseq:2668								
GFRA1	Protein	refseq:NP_005255.1								
GDNF	Protein	refseq:2668								
SORL1	Protein	refseq:NP_003096.2								
PDPK1	Protein	refseq:NP_002604.1								
ITPR3	Protein	refseq:NP_002215.2								
VEGFA	Protein	refseq:NP_003367.4								
VEGFA	Protein	refseq:NP_003367.4								
FMOD	Protein	ncbigene:2331		ensembl:ENSG00000122176	ncbigene:2331	hgnc.symbol:FMOD	uniprot:A0A3B3IRN5;uniprot:A0A024R971;uniprot:Q06828			
GFRA1	Protein	refseq:NP_005255.1								
