Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Adenosine	Metabolite	cas:58-61-7	""					wikidata:Q190012	chebi:16335	inchikey:OIRDTQYFTABQOQ-KQYNXXCUSA-N	pubchem.compound:60961	chemspider:54923	hmdb:HMDB0000050	kegg.compound:C00212	
Adenine	Metabolite	cas:73-24-5	""					wikidata:Q15277	chebi:16708	inchikey:GFFGJBXGBJISGV-UHFFFAOYSA-N	pubchem.compound:190	chemspider:185	hmdb:HMDB0000034	kegg.compound:C00147	
P2RY5	GeneProduct	ensembl:ENSBTAG00000006645	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:10161"	ensembl:ENSBTAG00000006645	ncbigene:782518		uniprot:A6QL49								
ADORA2A	GeneProduct	ensembl:ENSBTAG00000016944	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:135"	ensembl:ENSBTAG00000016944	ncbigene:617828		uniprot:E1BKU0								
ADORA3	GeneProduct	ensembl:ENSBTAG00000039738	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:140"	ensembl:ENSBTAG00000039738	ncbigene:780806		uniprot:Q0VC81								
LTB4R	GeneProduct	ensembl:ENSBTAG00000010238	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1241"	ensembl:ENSBTAG00000010238	ncbigene:613482		uniprot:Q3T181								
ADORA1	GeneProduct	ensembl:ENSBTAG00000011461	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:134"	ensembl:ENSBTAG00000011461	ncbigene:282133		uniprot:P28190								
P2RY6	GeneProduct	ensembl:ENSBTAG00000038737	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5031"	ensembl:ENSBTAG00000038737	ncbigene:539703		uniprot:F1MTB2								
P2RY4	GeneProduct	ensembl:ENSBTAG00000040541	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5030"	ensembl:ENSBTAG00000040541	ncbigene:514653		uniprot:F1MDW9								
P2RY2	GeneProduct	ensembl:ENSBTAG00000039050	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5029"												
P2RY1	GeneProduct	ensembl:ENSBTAG00000001465	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5028"	ensembl:ENSBTAG00000001465	ncbigene:281963		uniprot:P48042								
LPAR4	GeneProduct	ensembl:ENSBTAG00000003299	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2846"	ensembl:ENSBTAG00000003299	ncbigene:539738		uniprot:A4IFV1								
ADORA2B	GeneProduct	ensembl:ENSBTAG00000007581	"HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:136"	ensembl:ENSBTAG00000007581	ncbigene:529760		uniprot:Q1LZD0								
