Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
ATM	GeneProduct	ensembl:ENSG00000149311	""	ensembl:ENSG00000149311	ncbigene:472	hgnc.symbol:ATM	uniprot:E9PIN0;uniprot:Q6P7P1;uniprot:Q13315;uniprot:A0A804HL86;uniprot:H0YDU7;uniprot:A0A087X0E9;uniprot:A0A6Q8PH76;uniprot:M0QXY8;uniprot:H0YEC6;uniprot:A0A024R3C7;uniprot:E9PRG7								
ATR	Protein	uniprot:Q13535	"From Pathway: SPIKE 00003"	ensembl:ENSG00000175054	ncbigene:545	hgnc.symbol:ATR	uniprot:H0Y8R8;uniprot:D6RIG7;uniprot:Q13535;uniprot:D6RFJ6;uniprot:A0A590UJ01								
RPA2	Protein	uniprot:P15927	""	ensembl:ENSG00000117748	ncbigene:6118	hgnc.symbol:RPA2	uniprot:Q5TEJ0;uniprot:P15927;uniprot:Q5TEJ7								
RBBP8	Protein	uniprot:Q99708	""	ensembl:ENSG00000101773	ncbigene:5932	hgnc.symbol:RBBP8	uniprot:A0A140TA82;uniprot:J3QL93;uniprot:J3QSH7;uniprot:J3KSA4;uniprot:A0A024RC34;uniprot:V9GZ40;uniprot:I6L8A6;uniprot:J3QLW6;uniprot:J3QL00;uniprot:J3QRM0;uniprot:J3QLH2;uniprot:Q99708;uniprot:F6Q6H0								
MCPH1	Protein	uniprot:Q8NEM0	""	ensembl:ENSG00000147316	ncbigene:79648	hgnc.symbol:MCPH1	uniprot:A0A8I5KSF2;uniprot:A0A8I5KRI7;uniprot:A0A8I5KXP9;uniprot:A0A8I5KX36;uniprot:A0A8I5KZ89;uniprot:A0A8I5KYX6;uniprot:A0A8I5KWR1;uniprot:A0A8I5KW78;uniprot:A0A8I5KRS3;uniprot:A0A8I5KQQ3;uniprot:A0A8I5KV10;uniprot:A0A8I5KPV6;uniprot:A0A8I5KR64;uniprot:A0A8I5KR97;uniprot:A0A8I5KQZ4;uniprot:A0A8I5QJK3;uniprot:Q8NEM0;uniprot:A0A8I5KYD2;uniprot:A0A8I5QKX9;uniprot:A0A8I5KXJ5;uniprot:A0A8I5KTK9;uniprot:A0A8I5QKY7								
RFWD3	Protein	uniprot:Q6PCD5	""	ensembl:ENSG00000168411	ncbigene:55159	hgnc.symbol:RFWD3	uniprot:Q6PCD5;uniprot:I3L299;uniprot:I3L2T2;uniprot:I3L4I5;uniprot:I3L284								
RAD51	Protein	uniprot:Q06609	""	ensembl:ENSG00000051180	ncbigene:5888	hgnc.symbol:RAD51	uniprot:E9PJ30;uniprot:H0YD61;uniprot:E9PI54;uniprot:Q9NZG9;uniprot:E9PNT5;uniprot:Q06609								
E2F1	Protein	uniprot:Q01094	""	ensembl:ENSG00000101412	ncbigene:1869	hgnc.symbol:E2F1	uniprot:Q01094								
FANCI	Protein	uniprot:Q9NVI1	""	ensembl:ENSG00000140525	ncbigene:55215	hgnc.symbol:FANCI	uniprot:A0A6Q8PH09;uniprot:F8W7R3;uniprot:A0A6Q8PGF4;uniprot:H3BP78;uniprot:Q9NVI1;uniprot:H3BN35;uniprot:H3BT54;uniprot:H3BS60;uniprot:A0A8Q3SIZ6;uniprot:H3BQE2;uniprot:A0A8Q3SIW9;uniprot:H3BMG4								
MSH2	Protein	uniprot:P43246	""	ensembl:ENSG00000095002	ncbigene:4436	hgnc.symbol:MSH2	uniprot:A0A2R8YFH0;uniprot:A0A2R8Y7S8;uniprot:A0A2R8Y6P0;uniprot:E9PHA6;uniprot:A0A2R8Y713;uniprot:A0A2R8YG02;uniprot:P43246								
TP53BP1	Protein	uniprot:Q12888	""	ensembl:ENSG00000067369	ncbigene:7158	hgnc.symbol:TP53BP1	uniprot:C9JXV0;uniprot:Q12888;uniprot:H7C3N7;uniprot:A6NNK5;uniprot:H7BZY0;uniprot:H7C495;uniprot:M0R142;uniprot:H7C151								
PPM1D	Protein	uniprot:O15297	""	ensembl:ENSG00000170836	ncbigene:8493	hgnc.symbol:PPM1D	uniprot:A0A0S2Z4W0;uniprot:A0A8I5KT72;uniprot:O15297;uniprot:A0A0S2Z4M2;uniprot:A0A8I5KNX5;uniprot:A0A8I5KUN6;uniprot:A0A8J9C7E3;uniprot:A0A8I5QKP1;uniprot:A0A8I5KUX8;uniprot:A0A8I5QJK9								
PRKDC	Protein	uniprot:P78527	""	ensembl:ENSG00000253729	ncbigene:5591	hgnc.symbol:PRKDC	uniprot:F5GX40;uniprot:H0YG84;uniprot:A0A8V8TMR1;uniprot:P78527								
MRE11A	Protein	uniprot:P49959	""	ensembl:ENSG00000020922	ncbigene:4361	hgnc.symbol:MRE11	uniprot:A0A024R395;uniprot:F8W7U8;uniprot:F5GXT0;uniprot:F5H742;uniprot:P49959;uniprot:F5H256								
