Label	Type	ID	Database	
RFA2	GeneProduct	855404	Entrez Gene
RPA3	GeneProduct		
RPA4	GeneProduct		
POL1	GeneProduct	855621	Entrez Gene
PRI1	GeneProduct	854825	Entrez Gene
PRI2	GeneProduct	853821	Entrez Gene
DPB2	GeneProduct	856305	Entrez Gene
POL2	GeneProduct	855459	Entrez Gene
ORC3L	GeneProduct		
ORC2	GeneProduct	852352	Entrez Gene
ORC5L	GeneProduct		
ORC4L	GeneProduct		
ORC1L	GeneProduct		
ORC6L	GeneProduct		
GMNN	GeneProduct		
CDT1	GeneProduct		
RPL40A	GeneProduct	854658	Entrez Gene
MCM6	GeneProduct	852673	Entrez Gene
CDC46	GeneProduct	850980	Entrez Gene
CDC54	GeneProduct	856130	Entrez Gene
MCM3	GeneProduct	856680	Entrez Gene
MCM2	GeneProduct	852258	Entrez Gene
CDC47	GeneProduct	852501	Entrez Gene
MCM10	GeneProduct	854656	Entrez Gene
CDK2	GeneProduct		
POL12	GeneProduct	852245	Entrez Gene
RFC3	GeneProduct	855426	Entrez Gene
RFC2	GeneProduct	853531	Entrez Gene
RFC5	GeneProduct	852383	Entrez Gene
RFC4	GeneProduct	854059	Entrez Gene
RFC1	GeneProduct	854392	Entrez Gene
POL30	GeneProduct	852385	Entrez Gene
ASK	GeneProduct		
CDC7	GeneProduct	851545	Entrez Gene
RFA1	GeneProduct	851266	Entrez Gene
CDC45	GeneProduct	850793	Entrez Gene
HYS2	GeneProduct	853462	Entrez Gene
POLD3	GeneProduct		
POLD4	GeneProduct		
CDC2	GeneProduct	851456	Entrez Gene
CDC6	GeneProduct	853244	Entrez Gene
UBI4	GeneProduct	850620	Entrez Gene
GTP	Metabolite	2564-35-4	CAS
ATP	Metabolite	1927-31-7	CAS
dCTP	Metabolite	2056-98-6	CAS
dGTP	Metabolite	2564-35-4	CAS
dATP	Metabolite	1927-31-7	CAS
ATP	Metabolite	1927-31-7	CAS
ADP	Metabolite	58-64-0	CAS
ATP	Metabolite	1927-31-7	CAS
ADP	Metabolite	58-64-0	CAS
ATP	Metabolite	1927-31-7	CAS
CDT1	Protein	P47112	Uniprot-TrEMBL
ORC2	GeneProduct	852352	Entrez Gene
ORC3L	GeneProduct		
ORC2	GeneProduct	852352	Entrez Gene
ORC3L	GeneProduct		
ORC5L	GeneProduct		
ORC2	GeneProduct	852352	Entrez Gene
ORC3L	GeneProduct		
