Label	Type	ID	Database	
Corticosterone 
Methyl Oxidase	Protein	ENSG00000179142	Ensembl
P450scc	Protein	ENSG00000140459	Ensembl
Dihydrotestosterone	Metabolite	CHEBI:16330	ChEBI
P450c21	Protein	ENSG00000231852	Ensembl
Testosterone	Metabolite	CHEBI:17347	ChEBI
Oestradiol	Metabolite	CHEBI:16469	ChEBI
11beta-HSD1	Protein	ENSG00000117594	Ensembl
Cholesterol	Metabolite	CHEBI:16113	ChEBI
17-hydroxyprogesterone	Metabolite	CHEBI:17252	ChEBI
Cortisone	Metabolite	CHEBI:16962	ChEBI
3-beta-HSD	Protein	ENSG00000203859	Ensembl
Progesterone	Metabolite	CHEBI:17026	ChEBI
STAR	Protein	ENSG00000147465	Ensembl
Corticosterone	Metabolite	CHEBI:16827	ChEBI
11-Deoxycortisol	Metabolite	CHEBI:28324	ChEBI
DHEA	Metabolite	CHEBI:28689	ChEBI
Cortisol	Metabolite	Q190875	Wikidata
11beta-HSD2	Protein	ENSG00000176387	Ensembl
Androstenedione	Metabolite	CHEBI:16422	ChEBI
(11)-Deoxycorticosterone	Metabolite	CHEBI:16973	ChEBI
POR	Protein	P16435	Uniprot-TrEMBL
POR	Protein	P16435	Uniprot-TrEMBL
17-beta-HSD3	Protein	ENSG00000130948	Ensembl
H6PD	Protein	ENSG00000049239	Ensembl
18-hydroxycorticosterone	Metabolite	CHEBI:16485	ChEBI
POR	Protein	P16435	Uniprot-TrEMBL
Cytochrome b5	Protein	J3KNC7	Uniprot-TrEMBL
P450c17	Protein	ENSG00000148795	Ensembl
Aldosterone	Metabolite	CHEBI:27584	ChEBI
17-hydroxypregnenolone	Metabolite	CHEBI:28750	ChEBI
5-alpha-Reductase2	Protein	ENSG00000277893	Ensembl
P450Aro	Protein	ENSG00000137869	Ensembl
Pregnenolone	Metabolite	CHEBI:16581	ChEBI
3-beta-
HSD	Protein	ENSG00000203859	Ensembl
P450c11	Protein	ENSG00000160882	Ensembl
P450c17	Protein	ENSG00000148795	Ensembl
P450c17	Protein	ENSG00000148795	Ensembl
3-beta-HSD	Protein	ENSG00000203859	Ensembl
POR	Protein	P16435	Uniprot-TrEMBL
NADP+	Metabolite	CHEBI:58349	ChEBI
NADPH	Metabolite	CHEBI:57783	ChEBI
Cholesterol 
Biosynthesis	Pathway	WP197	WikiPathways
CYP11A1	GeneProduct	1583	Entrez Gene
HSD3B1	Protein	3283	Entrez Gene
3B-OH-delta-
Steroid Dh	Protein	1.1.1.145	Enzyme Nomenclature
HSD3B1	GeneProduct	3283	Entrez Gene
HSD3B2	GeneProduct	3284	Entrez Gene
Androgen Synthesis
 and Metabolism	Pathway	WP496	WikiPathways
CYP11B2	GeneProduct	1585	Entrez Gene
Corticosterone 
18-Monooxy	Protein	1.14.15.5	Enzyme Nomenclature
11b, 21-Dihydroxy-3,20-
5b-Pregnan-18-al	Metabolite	44263338	PubChem-compound
3a,11b,21-Trihydroxy-20-
Oxo-5b-Pregnan-18-al	Metabolite	44263346	PubChem-compound
3-Oxo-5b-
Steroid Dh	Protein	3O5B	Uniprot-TrEMBL
3a-Hydroxy-
steroid Dh	Protein	1.1.1.50	Enzyme Nomenclature
3a-OH-5b-Pregnane-20-one	Metabolite	24779614	PubChem-compound
5b-Pregnane-3,20-dione	Metabolite	92745	PubChem-compound
20b-Hydroxy-
steroid Dh	Protein	1.1.1.53	Enzyme Nomenclature
Pregnanediol	Metabolite	80-92-2	CAS
Glucuronides	Metabolite	CHEBI:26763	ChEBI
17a,21-Dihydroxy-5b-17a,21-Dihydroxy
-5b-Pregnane-3,11,20-trione	Metabolite	65554	PubChem-compound
Urocortisone	Metabolite	5754	PubChem-compound
Cortolone	Metabolite	516-42-7	CAS
Cortisone 
beta-reductase	Protein	1.3.1.3	Enzyme Nomenclature
3a-Hydroxy-
steroid Dh	Protein	1.1.1.50	Enzyme Nomenclature
(R)20-hydroxy-
steroid Dh	Protein	1.1.1.53	Enzyme Nomenclature
Urocortisol	Metabolite	5864	PubChem-compound
11b,17a 21-Trihydroxy-5b
Pregnane 3,20-dione	Metabolite	1482-50-4	CAS
Cortisol	Metabolite	Q190875	Wikidata
Steroid Hormone Signaling	Pathway	WP170	WikiPathways
