Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Methylmalonate	Metabolite	chebi:17453	""					wikidata:Q27102405	chebi:17453	inchikey:ZIYVHBGGAOATLY-UHFFFAOYSA-L	pubchem.compound:5459982	chemspider:4573689		kegg.compound:C02170	
alloisoleucine	Metabolite	chebi:43433	"Connection of this metabolite to pathway is unclear, figure in book links this to the protein?)</br>Assumed to be the L-form, according to [https://en.wikipedia.org/wiki/Isoleucine] Table with isomers, where the synonym of L-alloisoleucine is alloisoleucine."					wikidata:Q27092902	chebi:85338;chebi:43433	inchikey:AGPKZVBTJJNPAG-UHNVWZDZSA-N	pubchem.compound:99288;pubchem.compound:6950182	chemspider:89698	hmdb:HMDB0000557		
Biotin	Metabolite	chebi:15956	"'alpha subunit is covalently bound to biotin, which is essential for the ATP-dependent carboxylation'. Source: [https://en.wikipedia.org/wiki/Methylcrotonyl-CoA_carboxylase#Protein]"					wikidata:Q181354	chebi:15956	inchikey:YBJHBAHKTGYVGT-ZKWXMUAHSA-N	pubchem.compound:171548	chemspider:149962	hmdb:HMDB0000030	kegg.compound:C00120	
3-Methylcrotonyl-CoA	Metabolite	chebi:57344	""					wikidata:Q27124444	chebi:57344	inchikey:BXIPALATIYNHJN-ZMHDXICWSA-J	pubchem.compound:45266575	chemspider:26330719			
3-Hydroxybutyrate	Metabolite	chebi:37054	""					wikidata:Q27117026	chebi:37054	inchikey:WHBMMWSBFZVSSR-UHFFFAOYSA-M	pubchem.compound:3541112	chemspider:2779512			
2-Oxoisovalerate	Metabolite	chebi:11851	""					wikidata:Q28487657	chebi:11851	inchikey:QHKABHOOEWYVLI-UHFFFAOYSA-M	pubchem.compound:5204641			kegg.compound:C00141	
Isobutyrylcarnitine	Metabolite	chebi:73017	""					wikidata:Q27140238	chebi:73017	inchikey:LRCNOZRCYBNMEP-UHFFFAOYSA-N	pubchem.compound:10177002	chemspider:8352507			lipidmaps:LMFA07070075
3-Hydroxy-3-methylglutaryl-CoA	Metabolite	chebi:43074	""					wikidata:Q27120507	chebi:43074	inchikey:CABVTRNMFUVUDM-VRHQGPGLSA-I	pubchem.compound:5288565;pubchem.compound:131704231	chemspider:4450704			
Isoleucine	Metabolite	chebi:24898	""					wikidata:Q60662693	chebi:38264;chebi:24898	inchikey:AGPKZVBTJJNPAG-UHFFFAOYSA-N	pubchem.compound:791;pubchem.compound:57397079		hmdb:HMDB0033923		
3-Hydroxyisobutyrate	Metabolite	chebi:62638	""					wikidata:Q27104900	chebi:62638	inchikey:DBXBTMSZEOQQDU-VKHMYHEASA-M	pubchem.compound:18637352	chemspider:18628141		kegg.compound:C06001	
Malonic acid	Metabolite	chebi:30794	""					wikidata:Q421972	chebi:30794	inchikey:OFOBLEOULBTSOW-UHFFFAOYSA-N	pubchem.compound:23511544;pubchem.compound:867	chemspider:844	hmdb:HMDB0000691	kegg.compound:C00383;kegg.compound:C04025	lipidmaps:LMFA01170041
L-Valine	Metabolite	chebi:57762	""					wikidata:Q72516000;wikidata:Q106345667;wikidata:Q483752	chebi:16414;chebi:57762	inchikey:KZSNJWFQEVHDMF-BYPYZUCNSA-N	pubchem.compound:88733505;pubchem.compound:6287;pubchem.compound:6971018	chemspider:6050	hmdb:HMDB0000883	kegg.compound:C00183	
Isobutyrylglycine	Metabolite	chebi:70979	""					wikidata:Q27139227	chebi:70979	inchikey:DCICDMMXFIELDF-UHFFFAOYSA-N	pubchem.compound:10855600	chemspider:9030891	hmdb:HMDB0000730		
2-Hydroxyisovalerate	Metabolite	chebi:64669	"aka 2-hydroxy-3-methylbutyrate"					wikidata:Q27133365	chebi:64669	inchikey:NGEWQZIDQIYUNV-UHFFFAOYSA-M	pubchem.compound:21933914	chemspider:10688452			
S-2-carboxypropylcysteine	Metabolite	pubchem.compound:129651610	"AKA S-2-carboxypropyl-cysteine; annotated based on closest match in PubChem compound (carboxypropyl-cysteine, which doesn't specifiy the location and orientation of the carboxypropyl group)."					wikidata:Q113481589		inchikey:HEKRYQFXPLWAOP-YFKPBYRVSA-N	pubchem.compound:129651610				
