Label	Type	ID	Database	
OXPHOS 
pathway	Pathway	WP78	WikiPathways
Cysteine	Metabolite	CHEBI:15356	ChEBI
Electron	Metabolite	CHEBI:10545	ChEBI
Rhodanese	Protein	Q16762	Uniprot-TrEMBL
H2S	Metabolite	CHEBI:16136	ChEBI
ETHE1	Protein	O95571	Uniprot-TrEMBL
CoEnzyme Q	Metabolite	CHEBI:46245	ChEBI
SQR	Protein	1.8.5.4	Enzyme Nomenclature
SO3 2-
(sulfite)	Metabolite	CHEBI:17359	ChEBI
SOX	Protein	P51687	Uniprot-TrEMBL
R-SSH, example:
S-sulfanylglutathione	Metabolite	CHEBI:58905	ChEBI
Pyruvate	Metabolite	CHEBI:32816	ChEBI
O2	Metabolite	CHEBI:15379	ChEBI
R, example:
glutathione	Metabolite	CHEBI:57925	ChEBI
SO4 2-
(sulfate)	Metabolite	CHEBI:16189	ChEBI
S2O3 2-
(thiosulfate)	Metabolite	CHEBI:16094	ChEBI
2 H2O	Metabolite	CHEBI:15377	ChEBI
