Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
IGF-I	GeneProduct	ensembl:ENSBTAG00000011082	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3479	ensembl:ENSBTAG00000011082	ncbigene:281239		uniprot:F2X2F0;uniprot:P07455;uniprot:F2X2F3;uniprot:F2X2F1			
PTGIS	GeneProduct	ensembl:ENSBTAG00000017537	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5740	ensembl:ENSBTAG00000017537	ncbigene:282021		uniprot:A0A3Q1MTF6;uniprot:A0A3Q1M264;uniprot:Q29626			
PPARD	GeneProduct	ensembl:ENSBTAG00000017542	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5467	ensembl:ENSBTAG00000017542	ncbigene:353106		uniprot:F6Q6Y7;uniprot:A0A3Q1LKP0;uniprot:A4IFL4			
CREB1	GeneProduct	ensembl:ENSBTAG00000005474	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1385	ensembl:ENSBTAG00000005474	ncbigene:281713		uniprot:Q0V7N6			
MIXL1	GeneProduct	ensembl:ENSBTAG00000002139	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:83881	ensembl:ENSBTAG00000002139	ncbigene:614854		uniprot:E1BA56			
ID3	GeneProduct	ensembl:ENSBTAG00000030425	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3399	ensembl:ENSBTAG00000030425	ncbigene:538690		uniprot:Q5E981			
WNT10B	GeneProduct	ensembl:ENSBTAG00000015347	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:7480	ensembl:ENSBTAG00000015347	ncbigene:539337		uniprot:F1MK64			
STAT5A	GeneProduct	ensembl:ENSBTAG00000009496	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6776	ensembl:ENSBTAG00000009496	ncbigene:282375		uniprot:Q95115;uniprot:F1MER9			
STAT5B	GeneProduct	ensembl:ENSBTAG00000010125	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6777	ensembl:ENSBTAG00000010125	ncbigene:282376		uniprot:A0A140T878			
DLK	GeneProduct	ensembl:ENSBTAG00000037899	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:8788	ensembl:ENSBTAG00000037899	ncbigene:281117		uniprot:A0A3Q1LYR1;uniprot:A0A3Q1MSQ8;uniprot:O46370			
GR-A	GeneProduct	ensembl:ENSBTAG00000019472	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2908	ensembl:ENSBTAG00000019472	ncbigene:281946		uniprot:F1MN19			
DDIT3	GeneProduct	ensembl:ENSBTAG00000031544	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1649	ensembl:ENSBTAG00000031544	ncbigene:777788		uniprot:Q0IIB6;uniprot:A0A452DJA2			
LIF	GeneProduct	ensembl:ENSBTAG00000007424	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3976	ensembl:ENSBTAG00000007424	ncbigene:280840		uniprot:A0A3Q1MNA1;uniprot:Q27956			
CYP26A1	GeneProduct	ensembl:ENSBTAG00000021118	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1592	ensembl:ENSBTAG00000021118	ncbigene:539047		uniprot:F1MZS4			
CYP26B1	GeneProduct	ensembl:ENSBTAG00000012212	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:56603	ensembl:ENSBTAG00000012212	ncbigene:540868	hgnc.symbol:CYP26B1	uniprot:E1BHJ4			
RXRA	GeneProduct	ensembl:ENSBTAG00000017851	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6256	ensembl:ENSBTAG00000017851	ncbigene:507554		uniprot:A0A3Q1LTY3;uniprot:F1MX52			
RARA	GeneProduct	ensembl:ENSBTAG00000012500	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5914	ensembl:ENSBTAG00000012500	ncbigene:534280		uniprot:F1MWQ3;uniprot:A0A3Q1M468			
NR1H3	GeneProduct	ensembl:ENSBTAG00000010681	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:10062	ensembl:ENSBTAG00000010681	ncbigene:507176		uniprot:Q5E9B6			
LPL	GeneProduct	ensembl:ENSBTAG00000012855	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:4023	ensembl:ENSBTAG00000012855	ncbigene:280843		uniprot:P11151			
SREBF1	GeneProduct	ensembl:ENSBTAG00000007884	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6720	ensembl:ENSBTAG00000007884	ncbigene:539361		uniprot:A0A3Q1MST2;uniprot:F6RVY7;uniprot:A0A3Q1M285			
FAS	GeneProduct	ensembl:ENSBTAG00000010785	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:355	ensembl:ENSBTAG00000010785	ncbigene:282488		uniprot:A0A3Q1MVY3;uniprot:A5D7R0			
RBL1	GeneProduct	ensembl:ENSBTAG00000011541	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5933	ensembl:ENSBTAG00000011541	ncbigene:524870		uniprot:E1BMR3			
GATA3	GeneProduct	ensembl:ENSBTAG00000017243	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2625	ensembl:ENSBTAG00000017243	ncbigene:505169		uniprot:A0A452DIR6;uniprot:A0A3Q1MGB0			
GATA2	GeneProduct	ensembl:ENSBTAG00000019707	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2624	ensembl:ENSBTAG00000019707	ncbigene:506809		uniprot:E1BAM5;uniprot:A0A3Q1MC01;uniprot:A0A3Q1M989			
PPARG	GeneProduct	ensembl:ENSBTAG00000001333	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5468	ensembl:ENSBTAG00000001333	ncbigene:281993		uniprot:O18971			
MEF2A	GeneProduct	ensembl:ENSBTAG00000010649	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:4205	ensembl:ENSBTAG00000010649	ncbigene:407231		uniprot:A2VDZ3;uniprot:A0A3Q1MDU1;uniprot:A0A3Q1MPA6			
MEF2C	GeneProduct	ensembl:ENSBTAG00000020701	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:4208	ensembl:ENSBTAG00000020701	ncbigene:512254		uniprot:A0A3Q1MEB0;uniprot:D2KFG1;uniprot:Q2KIA0;uniprot:A0A3Q1MDH8;uniprot:G3MW05			
MEF2D	GeneProduct	ensembl:ENSBTAG00000046545	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:4209	ensembl:ENSBTAG00000046545	ncbigene:100336730		uniprot:A0A3Q1NNL3;uniprot:F1CYZ1			
ASIP	GeneProduct	ensembl:ENSBTAG00000034077	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:434	ensembl:ENSBTAG00000034077	ncbigene:404192		uniprot:Q29414			
TNF	GeneProduct	ensembl:ENSBTAG00000025471	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:7124	ensembl:ENSBTAG00000025471	ncbigene:280943		uniprot:A0A452DJ61			
MIF	GeneProduct	ensembl:ENSBTAG00000007375	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:4282	ensembl:ENSBTAG00000007375	ncbigene:280858		uniprot:A0A3Q1MT60;uniprot:A0A0F7RPX0;uniprot:P80177			
TGFB1	GeneProduct	ensembl:ENSBTAG00000020457	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:7040	ensembl:ENSBTAG00000020457	ncbigene:282089		uniprot:A0A3Q1NIZ0;uniprot:E1BNK3;uniprot:A0A3Q1N449;uniprot:A0A3Q1MK62			
SERPINE1	GeneProduct	ensembl:ENSBTAG00000014465	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5054	ensembl:ENSBTAG00000014465	ncbigene:281375		uniprot:A0A452DIJ9			
SLC2A4	GeneProduct	ensembl:ENSBTAG00000009190	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6517	ensembl:ENSBTAG00000009190	ncbigene:282359		uniprot:Q27994			
SCD	GeneProduct	ensembl:ENSBTAG00000047957	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6319							
TWIST1	GeneProduct	ensembl:ENSBTAG00000046922	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:7291	ensembl:ENSBTAG00000046922	ncbigene:782170		uniprot:G3N341			
OB	GeneProduct	ensembl:ENSBTAG00000014911	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3952	ensembl:ENSBTAG00000014911	ncbigene:280836		uniprot:G8BLB4			
RETN	GeneProduct	ensembl:ENSBTAG00000004716	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:56729	ensembl:ENSBTAG00000004716	ncbigene:369020		uniprot:Q762I5;uniprot:A0A3Q1MBE3;uniprot:K9MNT8			
DF	GeneProduct	ensembl:ENSBTAG00000046245	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1675							
GTF3A	GeneProduct	ensembl:ENSBTAG00000012600	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2971	ensembl:ENSBTAG00000012600	ncbigene:100135054		uniprot:F1MUY9			
RB1	GeneProduct	ensembl:ENSBTAG00000006640	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5925	ensembl:ENSBTAG00000006640	ncbigene:534712		uniprot:A0A3Q1MEV0;uniprot:F1MD46			
RBL2	GeneProduct	ensembl:ENSBTAG00000016243	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5934	ensembl:ENSBTAG00000016243	ncbigene:533294		uniprot:A5D7M0;uniprot:A0A3Q1M1Y7;uniprot:A0A3Q1MZD9			
ADIPOQ	GeneProduct	ensembl:ENSBTAG00000019813	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:9370							
PLIN2	GeneProduct	ensembl:ENSBTAG00000005718	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:123	ensembl:ENSBTAG00000005718	ncbigene:280981		uniprot:F1MHI1;uniprot:F1N1N6			
AGT	GeneProduct	ensembl:ENSBTAG00000012393	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:183	ensembl:ENSBTAG00000012393	ncbigene:527114		uniprot:Q3SZH5;uniprot:P01017			
CDKN1A	GeneProduct	ensembl:ENSBTAG00000008353	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1026	ensembl:ENSBTAG00000008353	ncbigene:513497		uniprot:A5PKM2			
E2F1	GeneProduct	ensembl:ENSBTAG00000003971	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1869	ensembl:ENSBTAG00000003971	ncbigene:535369		uniprot:E1BG94			
SP1	GeneProduct	ensembl:ENSBTAG00000003021	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6667	ensembl:ENSBTAG00000003021	ncbigene:540741		uniprot:A0A3Q1NH47;uniprot:A0A3Q1LZP1;uniprot:A0JNC9			
HMGA1	GeneProduct	ensembl:ENSBTAG00000034529	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3159	ensembl:ENSBTAG00000034529	ncbigene:618849		uniprot:Q0VC27;uniprot:A0A3Q1N116			
PLIN	GeneProduct	ensembl:ENSBTAG00000015350	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5346	ensembl:ENSBTAG00000015350	ncbigene:520598		uniprot:A4IFB3			
IL6	GeneProduct	ensembl:ENSBTAG00000014921	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3569	ensembl:ENSBTAG00000014921	ncbigene:280826		uniprot:P26892			
GADD45A	GeneProduct	ensembl:ENSBTAG00000013860	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1647	ensembl:ENSBTAG00000013860	ncbigene:505463		uniprot:Q3ZBN6			
GADD45B	GeneProduct	ensembl:ENSBTAG00000025462	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:4616	ensembl:ENSBTAG00000025462	ncbigene:618405		uniprot:Q5E9A5			
BMP1	GeneProduct	ensembl:ENSBTAG00000000917	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:649	ensembl:ENSBTAG00000000917	ncbigene:510360		uniprot:E1BEV7			
BMP2	GeneProduct	ensembl:ENSBTAG00000005111	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:650	ensembl:ENSBTAG00000005111	ncbigene:615037		uniprot:A5PJI9;uniprot:A0A3Q1NGR2			
