Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
EPOR	GeneProduct	ensembl:ENSBTAG00000008197	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2057	ensembl:ENSBTAG00000008197	ncbigene:281144		uniprot:F1MEQ7			
JAK2	GeneProduct	ensembl:ENSBTAG00000012047	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3717	ensembl:ENSBTAG00000012047	ncbigene:525246		uniprot:E1BCP6			
SRC	GeneProduct	ensembl:ENSBTAG00000008938	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6714	ensembl:ENSBTAG00000008938	ncbigene:535742		uniprot:E1BIM8			
EPOR	GeneProduct	ensembl:ENSBTAG00000008197	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2057	ensembl:ENSBTAG00000008197	ncbigene:281144		uniprot:F1MEQ7			
STAT1	GeneProduct	ensembl:ENSBTAG00000007867	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6772	ensembl:ENSBTAG00000007867	ncbigene:510814		uniprot:A0A3Q1ME65;uniprot:E1BPP7;uniprot:A0A3S5ZPJ6			
SHC1	GeneProduct	ensembl:ENSBTAG00000019838	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6464	ensembl:ENSBTAG00000019838	ncbigene:507196		uniprot:E1B716;uniprot:Q0IIE2			
GRB2	GeneProduct	ensembl:ENSBTAG00000004736	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2885	ensembl:ENSBTAG00000004736	ncbigene:535298		uniprot:Q3T0F9			
MAP2K1	GeneProduct	ensembl:ENSBTAG00000033983	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5604	ensembl:ENSBTAG00000033983	ncbigene:533199		uniprot:Q0VD16			
MAPK3	GeneProduct	ensembl:ENSBTAG00000016156	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5595	ensembl:ENSBTAG00000016156	ncbigene:531391		uniprot:E1B8P9;uniprot:A0A3Q1M7B5;uniprot:A0A3Q1MNN7			
MAPK1	GeneProduct	ensembl:ENSBTAG00000010312	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5594	ensembl:ENSBTAG00000010312	ncbigene:327672		uniprot:P46196			
MAP2K2	GeneProduct	ensembl:ENSBTAG00000024450	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5605	ensembl:ENSBTAG00000024450	ncbigene:510434		uniprot:Q17QH2;uniprot:A0A3S5ZPX3			
PDK1	GeneProduct	ensembl:ENSBTAG00000016836	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5163	ensembl:ENSBTAG00000016836	ncbigene:528655		uniprot:E1B8C5;uniprot:A0A3Q1LYU1			
AKT1	GeneProduct	ensembl:ENSBTAG00000017636	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:207	ensembl:ENSBTAG00000017636	ncbigene:280991		uniprot:A0A3Q1MJ77;uniprot:G3X7B5			
PIK3CG	GeneProduct	ensembl:ENSBTAG00000020848	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5294	ensembl:ENSBTAG00000020848	ncbigene:530001		uniprot:A6QPT0;uniprot:A0A3Q1M2L5			
EPO	GeneProduct	ensembl:ENSBTAG00000003430	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2056	ensembl:ENSBTAG00000003430	ncbigene:280784		uniprot:P48617;uniprot:A0A452DI21			
EPO	GeneProduct	ensembl:ENSBTAG00000003430	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2056	ensembl:ENSBTAG00000003430	ncbigene:280784		uniprot:P48617;uniprot:A0A452DI21			
SOCS1	GeneProduct	ensembl:ENSBTAG00000004386	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:8651	ensembl:ENSBTAG00000004386	ncbigene:518795		uniprot:M5FKB1;uniprot:F1MSN0			
STAT5B	GeneProduct	ensembl:ENSBTAG00000010125	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6777	ensembl:ENSBTAG00000010125	ncbigene:282376		uniprot:A0A140T878			
CISH	GeneProduct	ensembl:ENSBTAG00000022622	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1154	ensembl:ENSBTAG00000022622	ncbigene:616753		uniprot:Q2HJ53			
STAT5A	GeneProduct	ensembl:ENSBTAG00000009496	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6776	ensembl:ENSBTAG00000009496	ncbigene:282375		uniprot:Q95115;uniprot:F1MER9			
