Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Ca2+	Metabolite	pubchem.compound:271						wikidata:Q23905776	chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
H+	Metabolite	pubchem.compound:1038						wikidata:Q506710	chebi:15378;chebi:15378	inchikey:GPRLSGONYQIRFK-UHFFFAOYSA-N
Pi	Metabolite	chebi:35780						wikidata:Q55168228	chebi:35780;chebi:35780	
H+	Metabolite	pubchem.compound:1038						wikidata:Q506710	chebi:15378;chebi:15378	inchikey:GPRLSGONYQIRFK-UHFFFAOYSA-N
Ca2+	Metabolite	pubchem.compound:271						wikidata:Q23905776	chebi:29108;chebi:29108	inchikey:BHPQYMZQTOCNFJ-UHFFFAOYSA-N
H+	Metabolite	pubchem.compound:1038						wikidata:Q506710	chebi:15378;chebi:15378	inchikey:GPRLSGONYQIRFK-UHFFFAOYSA-N
H+	Metabolite	pubchem.compound:1038						wikidata:Q506710	chebi:15378;chebi:15378	inchikey:GPRLSGONYQIRFK-UHFFFAOYSA-N
H+	Metabolite	pubchem.compound:1038						wikidata:Q506710	chebi:15378;chebi:15378	inchikey:GPRLSGONYQIRFK-UHFFFAOYSA-N
Na+	Metabolite	hmdb:HMDB0000588							chebi:29101;chebi:29101	inchikey:FKNQFGJONOIPTF-UHFFFAOYSA-N
Na+	Metabolite	hmdb:HMDB0000588							chebi:29101;chebi:29101	inchikey:FKNQFGJONOIPTF-UHFFFAOYSA-N
AIMP2	GeneProduct	ensembl:ENSG00000106305		ensembl:ENSG00000106305	ncbigene:7965	hgnc.symbol:AIMP2	uniprot:F8WCL2;uniprot:A8MU58;uniprot:A0A024QZY1;uniprot:Q13155			
MAPK8	GeneProduct	ensembl:ENSG00000107643		ensembl:ENSG00000107643	ncbigene:5599	hgnc.symbol:MAPK8	uniprot:C9J762;uniprot:C9JWQ4;uniprot:A0A3B3IRW7;uniprot:A1L4K2;uniprot:P45983			
OPG	Protein	ncbigene:4982		ensembl:ENSG00000164761	ncbigene:4982	hgnc.symbol:TNFRSF11B	uniprot:E5RFV7;uniprot:O00300			
PDGFB	Protein	ncbigene:5155		ensembl:ENSG00000100311	ncbigene:5155	hgnc.symbol:PDGFB	uniprot:A9UJP0;uniprot:P01127;uniprot:A0A384NYY3;uniprot:A9UJN9			
TRPV	Protein	ncbigene:56302		ensembl:ENSG00000127412	ncbigene:56302	hgnc.symbol:TRPV5	uniprot:A0A0A6YY98;uniprot:Q9NQA5;uniprot:A0A0J9YXI7;uniprot:H7C2J6			
RANK ligand	Protein	ncbigene:8600		ensembl:ENSG00000120659	ncbigene:8600	hgnc.symbol:TNFSF11	uniprot:Q54A98;uniprot:O14788;uniprot:Q5T9Y4			
TRAP	Protein	ncbigene:54		ensembl:ENSG00000102575	ncbigene:54	hgnc.symbol:ACP5	uniprot:K7EJD9;uniprot:P13686;uniprot:K7ESF2;uniprot:K7EIP0;uniprot:A0A024R7F8;uniprot:A0A3B3IS75			
