Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
15-keto-PGF2α	Metabolite	chebi:28442	""					wikidata:Q27103699	chebi:28442	inchikey:LOLJEILMPWPILA-AMFHKTBMSA-N	pubchem.compound:5280887	chemspider:4444410	hmdb:HMDB0004240	kegg.compound:C05960	lipidmaps:LMFA03010026
Δ12-PGJ2	Metabolite	chebi:28130	"Synonym: 9-Deoxy-delta(9,12)-13,14-dihydro PGD2"					wikidata:Q27077015	chebi:28130	inchikey:TUXFWOHFPFBNEJ-GJGHEGAFSA-N	pubchem.compound:5280885	chemspider:4444408	hmdb:HMDB0004238	kegg.compound:C05958	lipidmaps:LMFA03010020
12-oxo-10,11-dihydro-LTB4	Metabolite	hmdb:HMDB0012498	""							inchikey:AHHXLFNPCWCNQF-SOOJVSLFSA-N	pubchem.compound:53481445	chemspider:30776617	hmdb:HMDB0012498		
12(S)-HETE	Metabolite	chebi:34146	""					wikidata:Q2823198	chebi:34146	inchikey:ZNHVWPKMFKADKW-LQWMCKPYSA-N	pubchem.compound:5283155	chemspider:4446279	hmdb:HMDB0006111	kegg.compound:C14777	lipidmaps:LMFA03060007
IP3	Metabolite	chebi:16595	""					wikidata:Q26998374	chebi:16595	inchikey:MMWCIQZXVOZEGG-XJTPDSDZSA-N	pubchem.compound:439456	chemspider:388562	hmdb:HMDB0001498	kegg.compound:C01245	
15(S)-HETE	Metabolite	chebi:15558	""					wikidata:Q21099561	chebi:15558	inchikey:JSFATNQSLKRBCI-VAEKSGALSA-N	pubchem.compound:5280724	chemspider:4444307	hmdb:HMDB0003876	kegg.compound:C04742	lipidmaps:LMFA03060001
15-keto-PGI2	Metabolite	chebi:15556	"=15-dehydro-Prostaglandin I2"					wikidata:Q27098098	chebi:15556	inchikey:YCLHGWBUIYKBPM-ABXKVQRYSA-N	pubchem.compound:5460107	chemspider:4573769		kegg.compound:C04835	lipidmaps:LMFA03010205
10,11-dihydro-LTB4	Metabolite	hmdb:HMDB0012504	""							inchikey:NKUPFHTVILUPKF-RNEQFKNCSA-N	pubchem.compound:53481449	chemspider:30776625	hmdb:HMDB0012504		
15(R)-HpETE	Metabolite	chebi:82627	""					wikidata:Q27156145	chebi:82627	inchikey:BFWYTORDSFIVKP-UDQWCNDOSA-N	pubchem.compound:10042663	chemspider:8218227			
PGA2	Metabolite	chebi:27820	"PGA2=Prostaglandin A2"					wikidata:Q27088462	chebi:27820	inchikey:MYHXHCUNDDAEOZ-FOSBLDSVSA-N	pubchem.compound:5280880	chemspider:4444403	hmdb:HMDB0002752	kegg.compound:C05953	lipidmaps:LMFA03010035
18-COOH-dinor-LTE4	Metabolite	hmdb:HMDB0012607	""							inchikey:OXCSBZDIZXLXRX-CBAWHTJISA-N	pubchem.compound:53481489	chemspider:30776647	hmdb:HMDB0012607		
10-HOTrE	Metabolite	pubchem.compound:54574843	""												
5(S),6(S)-DiHETE	Metabolite	chebi:53026	""					wikidata:Q27123891	chebi:53026	inchikey:UVZBUUTTYHTDRR-WAQVJNLQSA-N	pubchem.compound:5283161	chemspider:4446285			lipidmaps:LMFA03060018
HXA3	Metabolite	chebi:36190	""					wikidata:Q100870368	chebi:36190	inchikey:SGTUOBURCVMACZ-SEVPPISGSA-N	pubchem.compound:5283211			kegg.compound:C14808	lipidmaps:LMFA03090005
11α-hydroxy-9,15-dioxo-2,3,4,5,20-pentanor-19-carboxyprostanoic acid	Metabolite	chebi:73965	""					wikidata:Q27144287	chebi:73965	inchikey:ZJAZCYLYLVCSNH-JHJVBQTASA-N	pubchem.compound:161468	chemspider:141831			lipidmaps:LMFA03010032
DH-PGJ2	Metabolite	chebi:165318	""					wikidata:Q76507193	chebi:165318	inchikey:BVXBMWOFDUUSEM-VADMTLSYSA-N	pubchem.compound:16061093	chemspider:17220776			lipidmaps:LMFA03010158
18-COOH-dinor-LTB4	Metabolite	chebi:63980	""					wikidata:Q27132945	chebi:63980	inchikey:XWRIIHRGMKHPHN-USRRKILKSA-N	pubchem.compound:6438938	chemspider:4943376			lipidmaps:LMFA01170145
Adrenic acid (22:4,w6)	Metabolite	chebi:53487	""					wikidata:Q4351606	chebi:53487	inchikey:TWSWSIQAPQLDBP-DOFZRALJSA-N	pubchem.compound:5497181	chemspider:4593749	hmdb:HMDB0002226	kegg.compound:C16527	lipidmaps:LMFA01030178
12-oxo-LTB4	Metabolite	pubchem.compound:5280876	""					wikidata:Q27103352	chebi:27814	inchikey:SJVWVCVZWMJXOK-NOJHDUNKSA-N	pubchem.compound:5280876	chemspider:4444399	hmdb:HMDB0004234	kegg.compound:C05949	lipidmaps:LMFA03020024
