Label	Type	ID	Database	
NPC1	GeneProduct	4864	Entrez Gene
UGT1A10	GeneProduct	54575	Entrez Gene
ABCC2	GeneProduct	450670	Entrez Gene
SN-38	Metabolite	CHEBI:8988	ChEBI
Irinotecan	Metabolite	60838	PubChem-compound
CES2	GeneProduct	740768	Entrez Gene
UGT1A6	GeneProduct	739942	Entrez Gene
CES1	GeneProduct	747009	Entrez Gene
CYP3A4	GeneProduct	463582	Entrez Gene
BCHE	GeneProduct	460830	Entrez Gene
ABCC1	GeneProduct	453952	Entrez Gene
CES2	GeneProduct	740768	Entrez Gene
CES1	GeneProduct	747009	Entrez Gene
ABCC2	GeneProduct	450670	Entrez Gene
ABCC1	GeneProduct	453952	Entrez Gene
UGT1A9	GeneProduct	741990	Entrez Gene
CYP3A4	GeneProduct	463582	Entrez Gene
APC	GeneProduct	461999	Entrez Gene
UGT1A6	GeneProduct	739942	Entrez Gene
CES1	GeneProduct	747009	Entrez Gene
UGT1A1	GeneProduct	449596	Entrez Gene
ABCC2	GeneProduct	450670	Entrez Gene
UGT1A1	GeneProduct	449596	Entrez Gene
ABCC1	GeneProduct	453952	Entrez Gene
SN-38G	Metabolite	CHEBI:8990	ChEBI
CYP3A5	GeneProduct	737374	Entrez Gene
SN-38	Metabolite	CHEBI:8988	ChEBI
CES2	GeneProduct	740768	Entrez Gene
ABCG2	GeneProduct	471251	Entrez Gene
SN-38	Metabolite	CHEBI:8988	ChEBI
Irinotecan	Metabolite	60838	PubChem-compound
CYP3A5	GeneProduct	737374	Entrez Gene
CES1	GeneProduct	747009	Entrez Gene
Irinotecan	Metabolite	60838	PubChem-compound
SN-38G	Metabolite	CHEBI:8990	ChEBI
CES2	GeneProduct	740768	Entrez Gene
M4	Metabolite		
CYP3A4	GeneProduct	463582	Entrez Gene
