Label	Type	ID	Database	
chloroquine	Metabolite	Q422438	Wikidata
TRAF3	GeneProduct	ENSG00000131323	Ensembl
NLRP3	GeneProduct	ENSG00000162711	Ensembl
RELA	GeneProduct	ENSG00000173039	Ensembl
NFKB1	GeneProduct	ENSG00000109320	Ensembl
NFKB1 p105	GeneProduct	ENSG00000109320	Ensembl
Orf3a	Protein	YP_009724391	RefSeq
IL1B	GeneProduct	ENSG00000125538	Ensembl
pro-IL1B	GeneProduct	ENSG00000125538	Ensembl
pro-IL1B	Rna	ENSG00000125538	Ensembl
ASC	GeneProduct	ENSG00000103490	Ensembl
CASP1	GeneProduct	ENSG00000137752	Ensembl
pro-CASP1	GeneProduct	ENSG00000137752	Ensembl
