ID	Database	Citation
11459935	Pubmed	"Regulation of myostatin activity and muscle growth. Lee SJ, McPherron AC. Proc Natl Acad Sci U S A. 2001 Jul 31;98(16):9306–11.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11459935"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11459935"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11459935"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
14459935	Pubmed	"Delayed object-quality discriminations in hemicerebrectomized monkeys. KRUPER DC, PATTON RA, KOSKOFF YD. J Comp Physiol Psychol. 1961 Dec;54:619–24.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/14459935"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/14459935"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/14459935"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
14715915	Pubmed	"Cellular and molecular regulation of muscle regeneration. Chargé SBP, Rudnicki MA. Physiol Rev. 2004 Jan;84(1):209–38.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/14715915"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/14715915"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/14715915"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
15125842	Pubmed	"The IGF-1/PI3K/Akt pathway prevents expression of muscle atrophy-induced ubiquitin ligases by inhibiting FOXO transcription factors. Stitt TN, Drujan D, Clarke BA, Panaro F, Timofeyva Y, Kline WO, et al. Mol Cell. 2004 May 7;14(3):395–403.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15125842"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/15125842"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/15125842"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
21673099	Pubmed	"1,25(OH)2vitamin D3 stimulates myogenic differentiation by inhibiting cell proliferation and modulating the expression of promyogenic growth factors and myostatin in C2C12 skeletal muscle cells. Garcia LA, King KK, Ferrini MG, Norris KC, Artaza JN. Endocrinology. 2011 Aug;152(8):2976–86.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21673099"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/21673099"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/21673099"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
22006022	Pubmed	"O(2) regulates skeletal muscle progenitor differentiation through phosphatidylinositol 3-kinase/AKT signaling. Majmundar AJ, Skuli N, Mesquita RC, Kim MN, Yodh AG, Nguyen-McCarty M, et al. Mol Cell Biol. 2012 Jan;32(1):36–49.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22006022"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/22006022"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/22006022"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
24963562	Pubmed	"Human exposure to tickborne relapsing fever spirochete Borrelia miyamotoi, the Netherlands. Fonville M, Friesema IHM, Hengeveld PD, Docters van Leeuwen A, Jahfari S, Harms MG, et al. Emerg Infect Dis. 2014 Jul;20(7):1244–5.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/24963562"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/24963562"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/24963562"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
24963862	Pubmed	"Muscle atrophy reversed by growth factor activation of satellite cells in a mouse muscle atrophy model. Hauerslev S, Vissing J, Krag TO. PLoS One. 2014 Jun 25;9(6):e100594.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/24963862"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/24963862"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/24963862"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
26468276	Pubmed	"Hypoxia Inhibits Myogenic Differentiation through p53 Protein-dependent Induction of Bhlhe40 Protein. Wang C, Liu W, Liu Z, Chen L, Liu X, Kuang S. J Biol Chem. 2015 Dec 11;290(50):29707–16.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/26468276"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/26468276"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/26468276"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
27056755	Pubmed	"Edaravone promotes activation of resident cardiac stem cells by transplanted mesenchymal stem cells in a rat myocardial infarction model. Zhang GW, Gu TX, Sun XJ, Wang C, Qi X, Wang XB, et al. J Thorac Cardiovasc Surg. 2016 Aug;152(2):570–82.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/27056755"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/27056755"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/27056755"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
