Label	Type	ID	Database	
Inactive
24,25-OH-
vitamin D	Metabolite	HMDB0000430	HMDB
RXRA	GeneProduct	ENSBTAG00000017851	Ensembl
Calcidiol	Metabolite	HMDB0003550	HMDB
Calcidiol	Metabolite	HMDB0003550	HMDB
PTH	GeneProduct	ENSBTAG00000019080	Ensembl
Previtamin D3	Metabolite	HMDB0006500	HMDB
Calcitriol	Metabolite	HMDB0001903	HMDB
CYP2R1	GeneProduct	ENSBTAG00000010419	Ensembl
Pi	Metabolite	HMDB0001429	HMDB
DHCR7	GeneProduct	ENSBTAG00000016465	Ensembl
CYP27A1	GeneProduct	ENSBTAG00000013489	Ensembl
GC	GeneProduct	ENSBTAG00000013718	Ensembl
alpha-globulin	GeneProduct		
RXRB	GeneProduct	ENSBTAG00000000602	Ensembl
VDR	GeneProduct	ENSBTAG00000016414	Ensembl
Cholecalciferol	Metabolite	HMDB0000876	HMDB
Cholesterol	Metabolite	HMDB0000067	HMDB
CYP24A1	GeneProduct	ENSBTAG00000002765	Ensembl
CYP27B1	GeneProduct	ENSBTAG00000016906	Ensembl
GC	Protein	ENSBTAG00000013718	Ensembl
7-Dehydro-
cholesterol	Metabolite	HMDB0000032	HMDB
Ca	Metabolite	HMDB0000464	HMDB
