Label	Type	ID	Database	
Cav2.2
	GeneProduct	ENSMUSG00000000058	Ensembl
4.1G	GeneProduct	13822	Entrez Gene
NIK/Mapk4
	GeneProduct	ENSMUSG00000024558	Ensembl
N-Cadherin	GeneProduct	12558	Entrez Gene
LAR
	GeneProduct		
SKIP	GeneProduct	66354	Entrez Gene
MAP4	Protein	P27546	Uniprot-TrEMBL
AGRIN	Protein	A2ASQ1	Uniprot-TrEMBL
Calsyntenin	GeneProduct	65945	Entrez Gene
EphrinA5R	GeneProduct		
GIRK2	GeneProduct	16522	Entrez Gene
PIP2
	Metabolite	HMDB0010032	HMDB
Clasp1	GeneProduct	ENSMUSG00000064302	Ensembl
Slo	GeneProduct	16531	Entrez Gene
CASK
	GeneProduct	ENSMUSG00000031012	Ensembl
neurochondrin	GeneProduct	26562	Entrez Gene
GlyRa2	GeneProduct		
GABAARg2	GeneProduct	14406	Entrez Gene
JNK2	GeneProduct	26420	Entrez Gene
PMCA1	GeneProduct	67972	Entrez Gene
Syntaxin1	GeneProduct		
Plcb4	GeneProduct	ENSMUSG00000039943	Ensembl
Rap1gap	GeneProduct	110351	Entrez Gene
Syntaxin 2	GeneProduct	13852	Entrez Gene
Camk2g	GeneProduct	ENSMUSG00000021820	Ensembl
a-catenin
	GeneProduct		
Igsf4a	GeneProduct	54725	Entrez Gene
Neogenin	GeneProduct	18007	Entrez Gene
nAChRa2	GeneProduct		
Cav2.2	GeneProduct	ENSMUSG00000000058	Ensembl
Cask	GeneProduct	ENSMUSG00000031012	Ensembl
Gephrin	GeneProduct	268566	Entrez Gene
CASK
	Protein	P06796	Uniprot-TrEMBL
Dab1	GeneProduct	ENSMUSG00000028519	Ensembl
Aplp2	GeneProduct	ENSMUSG00000031996	Ensembl
Kcnq2	GeneProduct	ENSMUSG00000016346	Ensembl
Munc18	GeneProduct	20911	Entrez Gene
4.1R	GeneProduct	269587	Entrez Gene
4.1B	GeneProduct	13823	Entrez Gene
Chl1	GeneProduct	ENSMUSG00000030077	Ensembl
Netrin G1	GeneProduct	80883	Entrez Gene
Rap1	GeneProduct	57321	Entrez Gene
EphrinA5	GeneProduct	13640	Entrez Gene
NMDAR2B	GeneProduct	14812	Entrez Gene
NMDAR1	GeneProduct	14810	Entrez Gene
Chl1	GeneProduct	ENSMUSG00000030077	Ensembl
N-Cadherin	GeneProduct	12558	Entrez Gene
Ankyrin G	GeneProduct	11735	Entrez Gene
CASK
	GeneProduct	ENSMUSG00000031012	Ensembl
Dab1	GeneProduct	ENSMUSG00000028519	Ensembl
a-catenin
	GeneProduct		
LAR
	GeneProduct		
GluR6	GeneProduct	14806	Entrez Gene
Cask	GeneProduct	ENSMUSG00000031012	Ensembl
PKCz	GeneProduct	18762	Entrez Gene
GABAB2R	GeneProduct	242425	Entrez Gene
nAChRa4	GeneProduct		
Plcb4	GeneProduct	ENSMUSG00000039943	Ensembl
PIP2
	Metabolite	HMDB0010032	HMDB
Ankyrin G	GeneProduct	11735	Entrez Gene
Ankyrin G	GeneProduct	11735	Entrez Gene
JNK2	GeneProduct	26420	Entrez Gene
4.1R	GeneProduct	269587	Entrez Gene
4.1R	GeneProduct	269587	Entrez Gene
GluR6	GeneProduct	14806	Entrez Gene
Slo	GeneProduct	16531	Entrez Gene
PKCz	GeneProduct	18762	Entrez Gene
GABAB2R	GeneProduct	242425	Entrez Gene
Gephrin	GeneProduct	268566	Entrez Gene
Plcb4	GeneProduct	ENSMUSG00000039943	Ensembl
4.1N	GeneProduct	13821	Entrez Gene
Igsf4b	GeneProduct	94332	Entrez Gene
Integrin a2
	GeneProduct		
validated target	Unknown		
CLIP predicted target	Unknown		
validated target - predicted by bioinformatics	Unknown		
validated target - predicted by splicing microarray	Unknown		
validated target - predicted by CLIP	Unknown		
