ID	Database	Citation
8918464	Pubmed	"STK/RON receptor tyrosine kinase mediates both apoptotic and growth signals via the multifunctional docking site conserved among the HGF receptor family. Iwama A, Yamaguchi N, Suda T. EMBO J. 1996 Nov 1;15(21):5866–75.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/8918464"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/8918464"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/8918464"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
10222149	Pubmed	"Macrophage stimulating protein-induced epithelial cell adhesion is mediated by a PI3-K-dependent, but FAK-independent mechanism. Danilkovitch A, Skeel A, Leonard EJ. Exp Cell Res. 1999 May 1;248(2):575–82.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10222149"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10222149"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10222149"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
10688668	Pubmed	"Two independent signaling pathways mediate the antiapoptotic action of macrophage-stimulating protein on epithelial cells. Danilkovitch A, Donley S, Skeel A, Leonard EJ. Mol Cell Biol. 2000 Mar;20(6):2218–27.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10688668"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10688668"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10688668"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
15929040	Pubmed	"RON-regulated innate immunity is protective in an animal model of multiple sclerosis. Tsutsui S, Noorbakhsh F, Sullivan A, Henderson AJ, Warren K, Toney-Earley K, et al. Ann Neurol. 2005 Jun;57(6):883–95.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15929040"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/15929040"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/15929040"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16633352	Pubmed	"Macrophage-stimulating protein differently affects human alveolar macrophages from smoker and non-smoker patients: evaluation of respiratory burst, cytokine release and NF-kappaB pathway. Gunella G, Bardelli C, Amoruso A, Viano I, Balbo P, Brunelleschi S. Br J Pharmacol. 2006 Jun;148(4):478–89.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16633352"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16633352"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16633352"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
17588532	Pubmed	"Human RON receptor tyrosine kinase induces complete epithelial-to-mesenchymal transition but causes cellular senescence. Côté M, Miller AD, Liu SL. Biochem Biophys Res Commun. 2007 Aug 17;360(1):219–25.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17588532"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/17588532"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/17588532"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
18204077	Pubmed	"Activation of RON differentially regulates claudin expression and localization: role of claudin-1 in RON-mediated epithelial cell motility. Zhang K, Yao HP, Wang MH. Carcinogenesis. 2008 Mar;29(3):552–9.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/18204077"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/18204077"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/18204077"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
18684919	Pubmed	"The RON receptor tyrosine kinase regulates IFN-gamma production and responses in innate immunity. Wilson CB, Ray M, Lutz M, Sharda D, Xu J, Hankey PA. J Immunol. 2008 Aug 15;181(4):2303–10.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/18684919"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/18684919"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/18684919"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
19720831	Pubmed	"Hepatocyte growth factor family negatively regulates hepatic gluconeogenesis via induction of orphan nuclear receptor small heterodimer partner in primary hepatocytes. Chanda D, Li T, Song KH, Kim YH, Sim J, Lee CH, et al. J Biol Chem. 2009 Oct 16;284(42):28510–21.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/19720831"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/19720831"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/19720831"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
19838218	Pubmed	"The Ron receptor tyrosine kinase positively regulates angiogenic chemokine production in prostate cancer cells. Thobe MN, Gurusamy D, Pathrose P, Waltz SE. Oncogene. 2010 Jan 14;29(2):214–26.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/19838218"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/19838218"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/19838218"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
21619683	Pubmed	"Ribosomal protein S6 kinase (RSK)-2 as a central effector molecule in RON receptor tyrosine kinase mediated epithelial to mesenchymal transition induced by macrophage-stimulating protein. Ma Q, Guin S, Padhye SS, Zhou YQ, Zhang RW, Wang MH. Mol Cancer. 2011 May 28;10:66.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21619683"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/21619683"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/21619683"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
23542172	Pubmed	"The Ron receptor tyrosine kinase activates c-Abl to promote cell proliferation through tyrosine phosphorylation of PCNA in breast cancer. Zhao H, Chen MS, Lo YH, Waltz SE, Wang J, Ho PC, et al. Oncogene. 2014 Mar 13;33(11):1429–37.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/23542172"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/23542172"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/23542172"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
23817579	Pubmed	"Host genetic background impacts modulation of the TLR4 pathway by RON in tissue-associated macrophages. Chaudhuri A, Wilson NS, Yang B, Paler Martinez A, Liu J, Zhu C, et al. Immunol Cell Biol. 2013 Aug;91(7):451–60.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/23817579"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/23817579"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/23817579"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
24388747	Pubmed	"The RON receptor tyrosine kinase promotes metastasis by triggering MBD4-dependent DNA methylation reprogramming. Cunha S, Lin YC, Goossen EA, DeVette CI, Albertella MR, Thomson S, et al. Cell Rep. 2014 Jan 16;6(1):141–54.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/24388747"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/24388747"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/24388747"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
24409221	Pubmed	"Functional consequences of the macrophage stimulating protein 689C inflammatory bowel disease risk allele. Kauder SE, Santell L, Mai E, Wright LY, Luis E, N’Diaye EN, et al. PLoS One. 2013 Dec 23;8(12):e83958.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/24409221"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/24409221"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/24409221"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
24954505	Pubmed	"The DEK oncogene promotes cellular proliferation through paracrine Wnt signaling in Ron receptor-positive breast cancers. Privette Vinnedge LM, Benight NM, Wagh PK, Pease NA, Nashu MA, Serrano-Lopez J, et al. Oncogene. 2015 Apr 30;34(18):2325–36.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/24954505"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/24954505"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/24954505"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
27551332	Pubmed	"Short-form Ron is a novel determinant of ovarian cancer initiation and progression. Moxley KM, Wang L, Welm AL, Bieniasz M. Genes Cancer. 2016 May;7(5–6):169–81.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/27551332"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/27551332"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/27551332"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
