Label	Type	ID	Database	
ISRE 
Response element	GeneProduct		
Endocytosis	Pathway		
IFNA1	GeneProduct	ENSG00000197919	Ensembl
IFNA2	GeneProduct	ENSG00000188379	Ensembl
IFNA4	GeneProduct	ENSG00000236637	Ensembl
IFNA5	GeneProduct	ENSG00000147873	Ensembl
IFNA6	GeneProduct	ENSG00000120235	Ensembl
IFNA7	GeneProduct	ENSG00000214042	Ensembl
IFNA8	GeneProduct	ENSG00000120242	Ensembl
IFNA10	GeneProduct	ENSG00000186803	Ensembl
IFNA13	GeneProduct	ENSG00000233816	Ensembl
IFNA14	GeneProduct	ENSG00000228083	Ensembl
IFNA16	GeneProduct	ENSG00000147885	Ensembl
IFNA17	GeneProduct	ENSG00000234829	Ensembl
IFNA21	GeneProduct	ENSG00000137080	Ensembl
JAK1	GeneProduct	ENSG00000162434	Ensembl
STAT1	GeneProduct	ENSG00000115415	Ensembl
STAT2	GeneProduct	ENSG00000170581	Ensembl
TBK1	GeneProduct	ENSG00000183735	Ensembl
IKBKE	GeneProduct	ENSG00000263528	Ensembl
TLR3	GeneProduct	ENSG00000164342	Ensembl
IFNB1	GeneProduct	ENSG00000171855	Ensembl
IFNAR1	GeneProduct	3454	Entrez Gene
TYK2	GeneProduct	ENSG00000105397	Ensembl
ACE2	GeneProduct	ENSG00000130234	Ensembl
S	GeneProduct	694009	Uniprot-TrEMBL
IRF9	GeneProduct	ENSG00000213928	Ensembl
TRAF3	GeneProduct	ENSG00000131323	Ensembl
IFIH1	GeneProduct	ENSG00000115267	Ensembl
IRF3	GeneProduct	ENSG00000126456	Ensembl
MAVS	GeneProduct	ENSG00000088888	Ensembl
IFNAR2	GeneProduct	3455	Entrez Gene
DDX58	GeneProduct	ENSG00000107201	Ensembl
TICAM1	GeneProduct	148022	Entrez Gene
IRF3	GeneProduct	ENSG00000126456	Ensembl
IRF3	GeneProduct	ENSG00000126456	Ensembl
IRF3	GeneProduct	ENSG00000126456	Ensembl
ACE2	GeneProduct	ENSG00000130234	Ensembl
STAT1	GeneProduct	ENSG00000115415	Ensembl
STAT2	GeneProduct	ENSG00000170581	Ensembl
IRF9	GeneProduct	ENSG00000213928	Ensembl
IFN-beta
Response element	GeneProduct		
S	GeneProduct	694009	Uniprot-TrEMBL
