Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
1-Alkenyl-2-acylglycerophosphocholine(Plasmenylcholine)	Metabolite	chebi:17810	""					wikidata:Q33607073	chebi:17810					kegg.compound:C00958	
1-alkyl-2-acyl-sn-glycero-3-phosphoethanolamine(Plasmanylethanolamine)	Metabolite	chebi:36712	""					wikidata:Q114827270	chebi:36712					kegg.compound:C04475	lipidmaps:LMGP02020000
1-Alkyl-sn-glycerol 3-phosphate	Metabolite	chebi:17106	""					wikidata:Q33608751;wikidata:Q114849846	chebi:17106					kegg.compound:C03968	lipidmaps:LMGP10060000
1-alkyl-2-acyl-sn-glycero-3-phosphocholine(Plasmanylcholine)	Metabolite	chebi:36702	""					wikidata:Q74552323	chebi:36702					kegg.compound:C05212	lipidmaps:LMGP01020000
1-alkyl-2-acyl-sn-glycerol 3-phosphate(Plasmanic acid)	Metabolite	chebi:37296	""					wikidata:Q114849650	chebi:37296					kegg.compound:C05977	lipidmaps:LMGP10020000;lipidmaps:LMGP1002
1-alkenyl-2-acylglycerophosphoethanolamine(Plasmenylethanolamine)	Metabolite	chebi:17476	""					wikidata:Q33610920	chebi:17476					kegg.compound:C04756	
1-alkyl-2-acyl-sn-glycerol	Metabolite	pubchem.compound:17756737	""					wikidata:Q58216189		inchikey:LDVVTQMJQSCDMK-UHFFFAOYSA-N	pubchem.compound:17756737	chemspider:14725149	hmdb:HMDB0254858		
NADPH + H+	Metabolite	pubchem.compound:5884	""					wikidata:Q26841327	chebi:16474	inchikey:ACFIXJIJDZMPPO-NNYOXOHSSA-N	pubchem.compound:5884	chemspider:5673	hmdb:HMDB0000221	kegg.compound:C00005	
NADP(Coenzyme II)	Metabolite	pubchem.compound:5886	""					wikidata:Q26987754	chebi:18009	inchikey:XJLXINKUBYWONI-NNYOXOHSSA-O	pubchem.compound:5886	chemspider:5675	hmdb:HMDB0000217;hmdb:HMDB0304435	kegg.compound:C00006	
Acyl-CoA	Metabolite	chebi:17984	""					wikidata:Q2699537	chebi:17984					kegg.compound:C00040	lipidmaps:LMFA07050000
CoA-SH	Metabolite	pubchem.compound:6816	""					wikidata:Q111108933		inchikey:RGJOEKWQDUBAIZ-DRCCLKDXSA-N	pubchem.compound:6816	chemspider:6557			
Cytidine diphosphate ethanolamine(CDP-ethanolamine)	Metabolite	pubchem.compound:123727	""					wikidata:Q26997412	chebi:16732	inchikey:WVIMUEUQJFPNDK-PEBGCTIMSA-N	pubchem.compound:123727	chemspider:110296	hmdb:HMDB0001564	kegg.compound:C00570	
CMP	Metabolite	pubchem.compound:6131	""					wikidata:Q412622	chebi:17361	inchikey:IERHLVCPSMICTF-XVFCMESISA-N	pubchem.compound:6131	chemspider:5901	hmdb:HMDB0000095	kegg.compound:C00055	
Cytochrome b	Metabolite	chebi:38551	""					wikidata:Q3774486	chebi:38551						
CDP-choline	Metabolite	chebi:49086	""					wikidata:Q421308	chebi:49086	inchikey:RZZPDXZPRHQOCG-OJAKKHQRSA-O	pubchem.compound:13805	chemspider:13208	hmdb:HMDB0001413	kegg.compound:C00307	
Choline	Metabolite	pubchem.compound:305	""					wikidata:Q193166	chebi:15354	inchikey:OEYIOHPDSNJKLS-UHFFFAOYSA-N	pubchem.compound:305	chemspider:299	hmdb:HMDB0000097	kegg.compound:C00114	
Ethanolamine	Metabolite	pubchem.compound:700	""					wikidata:Q410387	chebi:16000	inchikey:HZAXFHJVJLSVMW-UHFFFAOYSA-N	pubchem.compound:700	chemspider:13835336	hmdb:HMDB0000149	kegg.compound:C00189	
