Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Il2	GeneProduct	ncbigene:116562		ensembl:ENSRNOG00000017348	ncbigene:116562		uniprot:P17108			
Stat5b	GeneProduct	ncbigene:25126		ensembl:ENSRNOG00000019075	ncbigene:25126		uniprot:A0A0G2JSR4;uniprot:A0A0G2JXI4			
Jak3	GeneProduct	ncbigene:25326		ensembl:ENSRNOG00000018669	ncbigene:25326		uniprot:Q63272			
Crk	GeneProduct	ncbigene:54245		ensembl:ENSRNOG00000025792	ncbigene:54245		uniprot:Q63768			
Vav1	GeneProduct	ncbigene:25156								
Stat1	GeneProduct	ncbigene:25124								
Creb1	GeneProduct	ncbigene:81646								
Ets2	GeneProduct	ncbigene:304063		ensembl:ENSRNOG00000001647	ncbigene:304063		uniprot:D4AAH4			
Lyn	GeneProduct	ncbigene:81515		ensembl:ENSRNOG00000008180	ncbigene:81515		uniprot:Q07014			
Akt1	GeneProduct	ncbigene:24185		ensembl:ENSRNOG00000028629	ncbigene:24185		uniprot:P47196			
Tert	GeneProduct	ncbigene:301965		ensembl:ENSRNOG00000025327	ncbigene:301965		uniprot:Q673L6			
Cish	GeneProduct	ncbigene:83681								
Ets1	GeneProduct	ncbigene:24356								
Ptpn11	GeneProduct	ncbigene:25622		ensembl:ENSRNOG00000030124	ncbigene:25622		uniprot:P41499			
Gnb2l1	GeneProduct	ncbigene:83427		ensembl:ENSRNOG00000052620	ncbigene:83427		uniprot:P63245;uniprot:A0A0G2JZE6			
Socs1	GeneProduct	ncbigene:252971		ensembl:ENSRNOG00000002568	ncbigene:252971		uniprot:G3V6B4			
Stat5a	GeneProduct	ncbigene:24918		ensembl:ENSRNOG00000019496	ncbigene:24918		uniprot:G3V8K7			
Pik3cd	GeneProduct	ncbigene:366508		ensembl:ENSRNOG00000016846	ncbigene:366508		uniprot:D4A5Q1			
Eif4e	GeneProduct	ncbigene:117045		ensembl:ENSRNOG00000052343	ncbigene:117045		uniprot:A0A1W2Q627;uniprot:P63074			
Cbl	GeneProduct	ncbigene:500985								
Stam	GeneProduct	ncbigene:498798		ensembl:ENSRNOG00000060817	ncbigene:498798		uniprot:B5DF55			
Lck	GeneProduct	ncbigene:313050		ensembl:ENSRNOG00000009705	ncbigene:313050		uniprot:A0A0H2UHH7			
IL2RB	GeneProduct	ncbigene:25746		ensembl:ENSRNOG00000048636	ncbigene:25746		uniprot:A0A0G2KA53			
Il2ra	GeneProduct	ncbigene:25704		ensembl:ENSRNOG00000047647	ncbigene:25704		uniprot:P26897			
Raf1	GeneProduct	ncbigene:24703		ensembl:ENSRNOG00000010153	ncbigene:24703		uniprot:P11345			
Cd53	GeneProduct	ncbigene:24251		ensembl:ENSRNOG00000017874	ncbigene:24251		uniprot:P24485			
Icam1	GeneProduct	ncbigene:25464								
Il2	GeneProduct	ncbigene:116562		ensembl:ENSRNOG00000017348	ncbigene:116562		uniprot:P17108			
