Label	Type	ID	Database	
HSD17B4	GeneProduct	3295	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
Steroid-19-Hydroxylase	GeneProduct	ENSG00000120054	Ensembl
HSD17B2	GeneProduct	3294	Entrez Gene
dehydroepiandrosterone	Metabolite	53-43-0	CAS
Estradiol	Metabolite	57-91-0	CAS
Progesterone	Metabolite	57-83-0	CAS
HSD3B1	GeneProduct	3283	Entrez Gene
Androstenediol	Metabolite	HMDB0005849	HMDB
HSD3B1	GeneProduct	3283	Entrez Gene
Dihydrotestosterone	Metabolite	HMDB0002961	HMDB
Hydroxyprogesterone aldolase	GeneProduct	4.1.2.30	Enzyme Nomenclature
HSD3B1	GeneProduct	3283	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
F13B	GeneProduct	2165	Entrez Gene
HSD3B2	GeneProduct	3284	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
Testosterone	Metabolite	58-22-0	CAS
HSD3B1	GeneProduct	3283	Entrez Gene
CYP17A1	GeneProduct	1586	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
Mineralocortocoid Synthesis	Pathway	WP4523	WikiPathways
CYP17A1	GeneProduct	1586	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
HSD3B2	GeneProduct	3284	Entrez Gene
HSD3B2	GeneProduct	3284	Entrez Gene
HSD17B1	GeneProduct	3292	Entrez Gene
17-alpha-OH-Pregnenolone	Metabolite	HMDB0000363	HMDB
HSD3B1	GeneProduct	3283	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
HSD17B3	GeneProduct	3293	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
Estrone	Metabolite	53-16-7	CAS
HSD17B7	GeneProduct	51478	Entrez Gene
Pregnenolone	Metabolite	145-13-1	CAS
17-alpha-OH-Progesterone	Metabolite	HMDB0000374	HMDB
HSD3B1	GeneProduct	3283	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
HSD3B2	GeneProduct	3284	Entrez Gene
Hydroxyprogesterone aldolase	GeneProduct	4.1.2.30	Enzyme Nomenclature
Glucocortocoid Synthesis	Pathway	WP4523	WikiPathways
HSD3B1	GeneProduct	3283	Entrez Gene
HSD3B1	GeneProduct	3283	Entrez Gene
Cholesterol	Metabolite	57-88-5	CAS
Androstenedione	Metabolite	63-05-8	CAS
Steroid-19-Hydroxylase	GeneProduct	ENSG00000120054	Ensembl
