ID	Database	Citation
840498	Pubmed	"Cystathionine beta-synthase deficiency: a qualitative abnormality of the deficient enzyme modified by vitamin B6 therapy. Longhi RC, Fleisher LD, Tallan HH, Gaull GE. Pediatr Res. 1977 Feb;11(2):100–3.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/840498"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/840498"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/840498"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
1184739	Pubmed	"Transcobalamins I and II as natural transport proteins of vitamin B12. Hall CA. J Clin Invest. 1975 Nov;56(5):1125–31.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/1184739"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/1184739"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/1184739"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
6295699	Pubmed	"Vitamin B12 binders (transcobalamins) in serum. Fernandes-Costa F, Metz J. Crit Rev Clin Lab Sci. 1982;18(1):1–30.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/6295699"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/6295699"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/6295699"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
6300970	Pubmed	"Synthesis and biological activities of leukotriene F4 and leukotriene F4 sulfone. Denis D, Charleson S, Rackham A, Jones TR, Ford-Hutchinson AW, Lord A, et al. Prostaglandins. 1982 Dec;24(6):801–14.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/6300970"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/6300970"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/6300970"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
8534261	Pubmed	"The isoprostanes. Current knowledge and directions for future research. Morrow JD, Roberts LJ 2nd. Biochem Pharmacol. 1996 Jan 12;51(1):1–9.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/8534261"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/8534261"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/8534261"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
8846925	Pubmed	"Free radicals, uric acid, and human disease. Proctor PH. Free Radic Biol Med. 1996;20(5):761–2.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/8846925"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/8846925"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/8846925"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
8968737	Pubmed	"Human methionine synthase: cDNA cloning and identification of mutations in patients of the cblG complementation group of folate/cobalamin disorders. Leclerc D, Campeau E, Goyette P, Adjalla CE, Christensen B, Ross M, et al. Hum Mol Genet. 1996 Dec;5(12):1867–74.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/8968737"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/8968737"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/8968737"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
10444342	Pubmed	"A common variant in methionine synthase reductase combined with low cobalamin (vitamin B12) increases risk for spina bifida. Wilson A, Platt R, Wu Q, Leclerc D, Christensen B, Yang H, et al. Mol Genet Metab. 1999 Aug;67(4):317–23.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10444342"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10444342"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10444342"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
10448523	Pubmed	"Homocysteine metabolism. Selhub J. Annu Rev Nutr. 1999;19:217–46.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10448523"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10448523"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10448523"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11731805	Pubmed	"Domain alternation switches B(12)-dependent methionine synthase to the activation conformation. Bandarian V, Pattridge KA, Lennon BW, Huddler DP, Matthews RG, Ludwig ML. Nat Struct Biol. 2002 Jan;9(1):53–6.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11731805"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11731805"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11731805"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11929995	Pubmed	"Selenoprotein R is a zinc-containing stereo-specific methionine sulfoxide reductase. Kryukov GV, Kumar RA, Koc A, Sun Z, Gladyshev VN. Proc Natl Acad Sci U S A. 2002 Apr 2;99(7):4245–50.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11929995"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11929995"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11929995"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
14726604	Pubmed	"Nitric oxide and superoxide in inflammation and immune regulation. Guzik TJ, Korbut R, Adamek-Guzik T. J Physiol Pharmacol. 2003 Dec;54(4):469–87.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/14726604"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/14726604"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/14726604"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
15104204	Pubmed	"Isoprostanes: novel bioactive products of lipid peroxidation. Basu S. Free Radic Res. 2004 Feb;38(2):105–22.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15104204"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/15104204"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/15104204"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16011463	Pubmed	"Vitamin E, oxidative stress, and inflammation. Singh U, Devaraj S, Jialal I. Annu Rev Nutr. 2005;25:151–74.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16011463"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16011463"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16011463"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16047261	Pubmed	"Homocysteine: overview of biochemistry, molecular biology, and role in disease processes. Fowler B. Semin Vasc Med. 2005 May;5(2):77–86.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16047261"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16047261"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16047261"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
