Label	Type	ID	Database	
Sphingolipid metabolism 
Pathway	Pathway	WP4142	WikiPathways
Palmitoyl-CoA	Metabolite	CHEBI:57379	ChEBI
(R)-4'-
phosphopantothenate	Metabolite	CHEBI:10986	ChEBI
L-cysteine	Metabolite	CHEBI:35235	ChEBI
sphingomyelin	Metabolite	CHEBI:17636	ChEBI
SPTLC1	GeneProduct	ENSG00000090054	Ensembl
3-Dehydrosphinganine	Metabolite	CHEBI:17862	ChEBI
dihydrosphingosine	Metabolite	46878428	PubChem-compound
D-pantetheine 
4'-phosphate	Metabolite	CHEBI:61723	ChEBI
ACACA	GeneProduct	ENSG00000278540	Ensembl
(R)-pantothenate	Metabolite	CHEBI:29032	ChEBI
diphosphate	Metabolite	CHEBI:33019	ChEBI
ceramide	Metabolite	CHEBI:17761	ChEBI
FA2H	GeneProduct	ENSG00000103089	Ensembl
MECP2	GeneProduct	ENSG00000169057	Ensembl
Coenzyme A	Metabolite	CHEBI:57287	ChEBI
dihydroxysphingolipids	Metabolite		
1,2-saturated fatty acid	Metabolite	CHEBI:83955	ChEBI
(2R)-2-hydroxy fatty acid anion	Metabolite	CHEBI:76177	ChEBI
L-serine	Metabolite	CHEBI:33384	ChEBI
dihydroceramide	Metabolite	CHEBI:139048	ChEBI
COASY	GeneProduct	ENSG00000068120	Ensembl
PANK2	Protein	ENSG00000125779	Ensembl
acetyl-CoA	Metabolite	CHEBI:57288	ChEBI
Fe(II)-cytochrome b5	Metabolite	CHEBI:29033	ChEBI
malonyl-CoA	Metabolite	CHEBI:57384	ChEBI
3'-dephospho
-CoA	Metabolite	CHEBI:57328	ChEBI
sphingolipids	Metabolite	CHEBI:26739	ChEBI
N-[(R)-4'-Phospho
pantothenoyl]-L-cysteine	Metabolite	CHEBI:59458	ChEBI
Fe(III)-cytochrome b5	Metabolite	CHEBI:29034	ChEBI
PIK3C3	GeneProduct	ENSG00000078142	Ensembl
ATG10	GeneProduct	ENSG00000152348	Ensembl
WIPI2	GeneProduct	ENSG00000157954	Ensembl
ATG7	GeneProduct	ENSG00000197548	Ensembl
ATG14	GeneProduct	ENSG00000126775	Ensembl
AKT1S1	GeneProduct	ENSG00000204673	Ensembl
ATG13	GeneProduct	ENSG00000175224	Ensembl
RB1CC1	GeneProduct	ENSG00000023287	Ensembl
AMPK	GeneProduct	ENSG00000132356	Ensembl
RHEB	GeneProduct	ENSG00000106615	Ensembl
ULK1	GeneProduct	ENSG00000177169	Ensembl
ATG16L1	GeneProduct	ENSG00000085978	Ensembl
ATG12	GeneProduct	ENSG00000145782	Ensembl
BECN1	GeneProduct	ENSG00000126581	Ensembl
DEPTOR	GeneProduct	ENSG00000155792	Ensembl
LC3	GeneProduct	ENSG00000101460	Ensembl
ATG2A	GeneProduct	ENSG00000110046	Ensembl
LKB1	GeneProduct	ENSG00000118046	Ensembl
ATG7	GeneProduct	ENSG00000197548	Ensembl
PIK3R4	GeneProduct	ENSG00000196455	Ensembl
TSC1	GeneProduct	ENSG00000165699	Ensembl
ATG5	GeneProduct	ENSG00000057663	Ensembl
MLST8	GeneProduct	ENSG00000167965	Ensembl
TSC2	GeneProduct	ENSG00000103197	Ensembl
ATG12	GeneProduct	ENSG00000145782	Ensembl
WIPI1	GeneProduct	ENSG00000070540	Ensembl
ATG4	GeneProduct	ENSG00000101844	Ensembl
WDR45	GeneProduct	ENSG00000196998	Ensembl
MTOR	GeneProduct	ENSG00000198793	Ensembl
RPTOR	GeneProduct	ENSG00000141564	Ensembl
PtdIns3P	Metabolite	CHEBI:26034	ChEBI
ATG101	GeneProduct	ENSG00000123395	Ensembl
ATG3	GeneProduct	ENSG00000144848	Ensembl
ATG12	GeneProduct	ENSG00000145782	Ensembl
ATG12	GeneProduct	ENSG00000145782	Ensembl
ATG5	GeneProduct	ENSG00000057663	Ensembl
LC3	GeneProduct	ENSG00000101460	Ensembl
LC3	GeneProduct	ENSG00000101460	Ensembl
LC3	GeneProduct	ENSG00000101460	Ensembl
COASY	GeneProduct	ENSG00000068120	Ensembl
PLA2G6	GeneProduct	ENSG00000184381	Ensembl
DCAF17	GeneProduct	ENSG00000115827	Ensembl
WDR45	GeneProduct	ENSG00000196998	Ensembl
PLA2G6	GeneProduct	ENSG00000184381	Ensembl
C19orf12	GeneProduct	ENSG00000131943	Ensembl
FA2H	GeneProduct	ENSG00000103089	Ensembl
ATP13A2	GeneProduct	ENSG00000159363	Ensembl
GTPBP2	GeneProduct	ENSG00000172432	Ensembl
COASY	GeneProduct	ENSG00000068120	Ensembl
PANK2	GeneProduct	ENSG00000125779	Ensembl
FTL	GeneProduct	ENSG00000087086	Ensembl
SCPx	GeneProduct	ENSG00000116171	Ensembl
CP	GeneProduct	ENSG00000047457	Ensembl
