Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Ligand	Metabolite	chebi:72768	Omeprazole, TCDD, PCB					wikidata:Q67151503	chebi:72768;chebi:72768	
Ligand	Metabolite	chebi:72768	Omeprazole, TCDD, PCB					wikidata:Q67151503	chebi:72768;chebi:72768	
Ligand	Metabolite	chebi:72768	Omeprazole, TCDD, PCB					wikidata:Q67151503	chebi:72768;chebi:72768	
Ligand	Metabolite	chebi:72768	Omeprazole, TCDD, PCB					wikidata:Q67151503	chebi:72768;chebi:72768	
HSP90AA1	GeneProduct	ensembl:ENSBTAG00000006270	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000080824	ensembl:ENSBTAG00000006270	ncbigene:281832		uniprot:Q76LV2;uniprot:A0A452DI85			
EP300	GeneProduct	ensembl:ENSBTAG00000016198	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000100393	ensembl:ENSBTAG00000016198	ncbigene:112446776		uniprot:E1B8D6			
SRC	GeneProduct	ensembl:ENSBTAG00000008938	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000197122	ensembl:ENSBTAG00000008938	ncbigene:535742		uniprot:E1BIM8			
AIP	GeneProduct	ensembl:ENSBTAG00000010478	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000110711	ensembl:ENSBTAG00000010478	ncbigene:360190		uniprot:A0A3S5ZP93			
AHR	GeneProduct	ensembl:ENSBTAG00000007746	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000106546	ensembl:ENSBTAG00000007746	ncbigene:280714		uniprot:F1ML85			
EGFR	GeneProduct	ensembl:ENSBTAG00000011628	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000146648	ensembl:ENSBTAG00000011628	ncbigene:407217		uniprot:A0A3Q1M731;uniprot:A0A3Q1MHB0;uniprot:F1N7F3			
HSP90AA1	GeneProduct	ensembl:ENSBTAG00000006270	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000080824	ensembl:ENSBTAG00000006270	ncbigene:281832		uniprot:Q76LV2;uniprot:A0A452DI85			
TNF	GeneProduct	ensembl:ENSBTAG00000025471	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000232810	ensembl:ENSBTAG00000025471	ncbigene:280943		uniprot:A0A452DJ61			
ARNT	GeneProduct	ensembl:ENSBTAG00000021037	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:405	ensembl:ENSBTAG00000021037	ncbigene:281010		uniprot:A0A3Q1N1D6;uniprot:F1MYI1;uniprot:A0A3Q1LKX3			
CDC37	GeneProduct	ensembl:ENSBTAG00000011699	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000105401	ensembl:ENSBTAG00000011699	ncbigene:520883		uniprot:Q5EAC6			
AHR	GeneProduct	ensembl:ENSBTAG00000007746	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000106546	ensembl:ENSBTAG00000007746	ncbigene:280714		uniprot:F1ML85			
ARNT	GeneProduct	ensembl:ENSBTAG00000021037	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:405	ensembl:ENSBTAG00000021037	ncbigene:281010		uniprot:A0A3Q1N1D6;uniprot:F1MYI1;uniprot:A0A3Q1LKX3			
AIP	GeneProduct	ensembl:ENSBTAG00000010478	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000110711	ensembl:ENSBTAG00000010478	ncbigene:360190		uniprot:A0A3S5ZP93			
SRC	GeneProduct	ensembl:ENSBTAG00000008938	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000197122	ensembl:ENSBTAG00000008938	ncbigene:535742		uniprot:E1BIM8			
SRC	GeneProduct	ensembl:ENSBTAG00000008938	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000197122	ensembl:ENSBTAG00000008938	ncbigene:535742		uniprot:E1BIM8			
CDC37	GeneProduct	ensembl:ENSBTAG00000011699	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000105401	ensembl:ENSBTAG00000011699	ncbigene:520883		uniprot:Q5EAC6			
AHR	GeneProduct	ensembl:ENSBTAG00000007746	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000106546	ensembl:ENSBTAG00000007746	ncbigene:280714		uniprot:F1ML85			
ARNT	GeneProduct	ensembl:ENSBTAG00000021037	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:405	ensembl:ENSBTAG00000021037	ncbigene:281010		uniprot:A0A3Q1N1D6;uniprot:F1MYI1;uniprot:A0A3Q1LKX3			
AHR	GeneProduct	ensembl:ENSBTAG00000007746	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000106546	ensembl:ENSBTAG00000007746	ncbigene:280714		uniprot:F1ML85			
PTGES3	GeneProduct	ensembl:ENSBTAG00000017967	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000110958	ensembl:ENSBTAG00000017967	ncbigene:493638		uniprot:A0A452DIU3			
PTGES3	GeneProduct	ensembl:ENSBTAG00000017967	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000110958	ensembl:ENSBTAG00000017967	ncbigene:493638		uniprot:A0A452DIU3			
NCOA1	GeneProduct	ensembl:ENSBTAG00000015007	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000084676	ensembl:ENSBTAG00000015007	ncbigene:525346		uniprot:G3N0C2;uniprot:E1BK04			
