Label	Type	ID	Database	
�2 receptor
	Protein	P07550	Uniprot-TrEMBL
�1 receptor
	Protein	P08588	Uniprot-TrEMBL
PKC	Protein	2.7.11.13	Enzyme Nomenclature
a1A receptor	Protein	P3548	Uniprot-TrEMBL
calcium	Metabolite	CHEBI:22984	ChEBI
ATP	Metabolite	CHEBI:30616	ChEBI
Epinephrine	Metabolite	Q132621	Wikidata
Norepinephrine	Metabolite		
Neurotransmitters	Pathway	WP4220	WikiPathways
Serine	Metabolite	CHEBI:17115	ChEBI
a2A receptor	Protein	P08913	Uniprot-TrEMBL
PKA	Protein	2.7.11.11	Enzyme Nomenclature
Glycolysis	Pathway	WP534	WikiPathways
Glycogen 
synthesis	Pathway	WP500	WikiPathways
ADCY1	Protein	Q08828	Uniprot-TrEMBL
PIP3	Metabolite		
DAG	Metabolite	Q161466	Wikidata
AC	Protein	4.6.1.1	Enzyme Nomenclature
a1B receptor	Protein	P3568	Uniprot-TrEMBL
a1D receptor	Protein	P25100	Uniprot-TrEMBL
a2B receptor	Protein	P18089	Uniprot-TrEMBL
a2C receptor	Protein	P18825	Uniprot-TrEMBL
IP3	Metabolite		
AC	Protein	4.6.1.1	Enzyme Nomenclature
pyro-
phosphate	Metabolite	CHEBI:33019	ChEBI
cAMP	Metabolite	CHEBI:58165	ChEBI
AC	Protein	4.6.1.1	Enzyme Nomenclature
ADCY2	Protein	Q08462	Uniprot-TrEMBL
ADCY3	Protein	O60266	Uniprot-TrEMBL
ADCY4	Protein	Q8NFM4	Uniprot-TrEMBL
ADCY5	Protein	O95622	Uniprot-TrEMBL
ADCY6	Protein	O43306	Uniprot-TrEMBL
ADCY7	Protein	P51828	Uniprot-TrEMBL
ADCY8	Protein	P40145	Uniprot-TrEMBL
ADCY9	Protein	O60503	Uniprot-TrEMBL
ADCY10	Protein	Q96PN6	Uniprot-TrEMBL
Threonine	Metabolite	CHEBI:57926	ChEBI
Serine	Metabolite	CHEBI:17115	ChEBI
Threonine	Metabolite	CHEBI:57926	ChEBI
Glycogen 
breakdown	Pathway	WP500	WikiPathways
