ID	Database	Citation
8702689	Pubmed	"Protein-tyrosine phosphatase 1B is a negative regulator of insulin- and insulin-like growth factor-I-stimulated signaling. Kenner KA, Anyanwu E, Olefsky JM, Kusari J. J Biol Chem. 1996 Aug 16;271(33):19810–6.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/8702689"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/8702689"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/8702689"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
8826975	Pubmed	"Protein tyrosine phosphatase 1B interacts with the activated insulin receptor. Seely BL, Staubs PA, Reichart DR, Berhanu P, Milarski KL, Saltiel AR, et al. Diabetes. 1996 Oct;45(10):1379–85.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/8826975"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/8826975"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/8826975"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9094314	Pubmed	"Characterization of a 3-phosphoinositide-dependent protein kinase which phosphorylates and activates protein kinase Balpha. Alessi DR, James SR, Downes CP, Holmes AB, Gaffney PR, Reese CB, et al. Curr Biol. 1997 Apr 1;7(4):261–9.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9094314"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9094314"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9094314"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9228007	Pubmed	"Dual role of phosphatidylinositol-3,4,5-trisphosphate in the activation of protein kinase B. Stokoe D, Stephens LR, Copeland T, Gaffney PR, Reese CB, Painter GF, et al. Science. 1997 Jul 25;277(5325):567–70.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9228007"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9228007"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9228007"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
10692429	Pubmed	"Dynamics of protein-tyrosine phosphatases in rat adipocytes. Calera MR, Vallega G, Pilch PF. J Biol Chem. 2000 Mar 3;275(9):6308–12.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10692429"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10692429"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10692429"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11282018	Pubmed	"Insulin signalling. Bevan P. J Cell Sci. 2001 Apr;114(Pt 8):1429–30.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11282018"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11282018"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11282018"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11742412	Pubmed	"Insulin signalling and the regulation of glucose and lipid metabolism. Saltiel AR, Kahn CR. Nature. 2001 Dec 13;414(6865):799–806.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11742412"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11742412"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11742412"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11803135	Pubmed	"The role of hepatocyte RXR alpha in xenobiotic-sensing nuclear receptor-mediated pathways. Cai Y, Konishi T, Han G, Campwala KH, French SW, Wan YJY. Eur J Pharm Sci. 2002 Feb;15(1):89–96.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11803135"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11803135"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11803135"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11875109	Pubmed	"Induction of human liver X receptor alpha gene expression via an autoregulatory loop mechanism. Li Y, Bolten C, Bhat BG, Woodring-Dietz J, Li S, Prayaga SK, et al. Mol Endocrinol. 2002 Mar;16(3):506–14.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11875109"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11875109"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11875109"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
15581595	Pubmed	"Regulatory network of lipid-sensing nuclear receptors: roles for CAR, PXR, LXR, and FXR. Handschin C, Meyer UA. Arch Biochem Biophys. 2005 Jan 15;433(2):387–96.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15581595"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/15581595"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/15581595"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
