Label	Type	ID	Database	
Glucocorticoids	Metabolite	CHEBI:24261	ChEBI
INSR	GeneProduct	ENSG00000171105	Ensembl
RXRA	GeneProduct	ENSG00000186350	Ensembl
LPIN1	GeneProduct	ENSG00000134324	Ensembl
PCK2	GeneProduct	ENSG00000100889	Ensembl
CEBPA	GeneProduct	ENSG00000245848	Ensembl
GLUT4	GeneProduct	ENSG00000181856	Ensembl
PPARG	GeneProduct	ENSG00000132170	Ensembl
CREB1	GeneProduct	ENSG00000118260	Ensembl
CEBPB	GeneProduct	ENSG00000172216	Ensembl
CEBPD	GeneProduct	ENSG00000221869	Ensembl
NR3C1	GeneProduct	ENSG00000113580	Ensembl
NRIP1	GeneProduct	ENSG00000180530	Ensembl
IRS1	GeneProduct	ENSG00000169047	Ensembl
IRS2	GeneProduct	ENSG00000185950	Ensembl
ADIPOQ	GeneProduct	ENSG00000181092	Ensembl
LEP	GeneProduct	ENSG00000174697	Ensembl
JNK	GeneProduct	ENSG00000107643	Ensembl
FOXO1A	GeneProduct	ENSG00000150907	Ensembl
TWIST1	GeneProduct	ENSG00000122691	Ensembl
PPARGC1A	GeneProduct	ENSG00000109819	Ensembl
TNF	GeneProduct	ENSG00000232810	Ensembl
IL6	GeneProduct	ENSG00000136244	Ensembl
NRIP1	GeneProduct	ENSG00000180530	Ensembl
