Label	Type	ID	Database	
ID2	GeneProduct	ENSG00000115738	Ensembl
IRF4	GeneProduct	ENSG00000137265	Ensembl
RUNX2	GeneProduct	ENSG00000124813	Ensembl
FLT3L	GeneProduct	ENSG00000090554	Ensembl
Ikaros	GeneProduct	ENSG00000185811	Ensembl
STAT3	GeneProduct	ENSG00000168610	Ensembl
IRF8	GeneProduct	ENSG00000140968	Ensembl
CSF2	GeneProduct	ENSG00000164400	Ensembl
PU.1	GeneProduct	ENSG00000066336	Ensembl
TPO	GeneProduct	ENSG00000115705	Ensembl
PU.1	GeneProduct	ENSG00000066336	Ensembl
IRF8	GeneProduct	ENSG00000140968	Ensembl
CSF1	GeneProduct	ENSG00000184371	Ensembl
CSF1	GeneProduct	ENSG00000184371	Ensembl
FLT3L	GeneProduct	ENSG00000090554	Ensembl
PU.1	GeneProduct	ENSG00000066336	Ensembl
CSF1	GeneProduct	ENSG00000184371	Ensembl
STAT3	GeneProduct	ENSG00000168610	Ensembl
FLT3L	GeneProduct	ENSG00000090554	Ensembl
PU.1	GeneProduct	ENSG00000066336	Ensembl
STAT3	GeneProduct	ENSG00000168610	Ensembl
PU.1	GeneProduct	ENSG00000066336	Ensembl
E2-2	GeneProduct	ENSG00000196628	Ensembl
FLT3L	GeneProduct	ENSG00000090554	Ensembl
FLT3L	GeneProduct	ENSG00000090554	Ensembl
CSF1	GeneProduct	ENSG00000184371	Ensembl
IRF8	GeneProduct	ENSG00000140968	Ensembl
BATF3	GeneProduct	ENSG00000123685	Ensembl
CSF1	GeneProduct	ENSG00000184371	Ensembl
IRF8	GeneProduct	ENSG00000140968	Ensembl
BATF3	GeneProduct	ENSG00000123685	Ensembl
FLT3L	GeneProduct	ENSG00000090554	Ensembl
IRF4	GeneProduct	ENSG00000137265	Ensembl
CSF1	GeneProduct	ENSG00000184371	Ensembl
CSF2	GeneProduct	ENSG00000164400	Ensembl
