Label	Type	ID	Database	
Neutral lipid
Synthesis	Pathway	WP3901	WikiPathways
Aldoa	GeneProduct	24189	Entrez Gene
Gpi	GeneProduct	292804	Entrez Gene
Tkfc	GeneProduct	361730	Entrez Gene
Sord	GeneProduct	24788	Entrez Gene
Fbp1	GeneProduct	24362	Entrez Gene
G6pc	GeneProduct	25634	Entrez Gene
Pfkl	GeneProduct	25741	Entrez Gene
Fructose	Metabolite	HMDB0000660	HMDB
Akr1b1	GeneProduct	24192	Entrez Gene
Glucose	Metabolite	HMDB0000122	HMDB
Khk	GeneProduct	25659	Entrez Gene
Glucose-6-P	Metabolite	HMDB0001401	HMDB
Fructose-6-P	Metabolite	HMDB0000124	HMDB
Sorbitol	Metabolite	HMDB0000247	HMDB
Fructose-1-P	Metabolite	HMDB0001076	HMDB
Fructose-1,6-biP	Metabolite	HMDB0001058	HMDB
Glyderaldehyde-3-P	Metabolite	HMDB0001112	HMDB
Dihydroacetone-P	Metabolite	HMDB0001473	HMDB
Glyderaldehyde	Metabolite	HMDB0001051	HMDB
Aldob	GeneProduct	24190	Entrez Gene
Tpi1	GeneProduct	24849	Entrez Gene
Aldob	GeneProduct	24190	Entrez Gene
Hk1	GeneProduct	25058	Entrez Gene
Pfkp	GeneProduct	60416	Entrez Gene
Pfkm	GeneProduct	65152	Entrez Gene
Hk1	GeneProduct	25058	Entrez Gene
Slc5a10	GeneProduct	303205	Entrez Gene
Slc2a5	GeneProduct	65197	Entrez Gene
Slc5a9	GeneProduct	366441	Entrez Gene
Slc2a2	GeneProduct	25351	Entrez Gene
