Label	Type	ID	Database	
NPC1	GeneProduct	4864	Entrez Gene
UGT1A10	GeneProduct	54575	Entrez Gene
SN-38G	Metabolite	CHEBI:8990	ChEBI
ABCC2	GeneProduct	403632	Entrez Gene
Irinotecan	Metabolite	60838	PubChem-compound
CES2	GeneProduct	489769	Entrez Gene
UGT1A6	GeneProduct	403629	Entrez Gene
CES1	GeneProduct	403643	Entrez Gene
SN-38	Metabolite	CHEBI:8988	ChEBI
CYP3A4	GeneProduct	1576	Entrez Gene
BCHE	GeneProduct	488143	Entrez Gene
ABCC1	GeneProduct	403453	Entrez Gene
CES2	GeneProduct	489769	Entrez Gene
CES1	GeneProduct	403643	Entrez Gene
ABCC2	GeneProduct	403632	Entrez Gene
ABCC1	GeneProduct	403453	Entrez Gene
UGT1A9	GeneProduct	54600	Entrez Gene
SN-38G	Metabolite	CHEBI:8990	ChEBI
M4	Metabolite		
CYP3A4	GeneProduct	1576	Entrez Gene
UGT1A6	GeneProduct	403629	Entrez Gene
CES1	GeneProduct	403643	Entrez Gene
UGT1A1	GeneProduct	54658	Entrez Gene
ABCC2	GeneProduct	403632	Entrez Gene
APC	Metabolite	CHEBI:80551	ChEBI
UGT1A1	GeneProduct	54658	Entrez Gene
ABCC1	GeneProduct	403453	Entrez Gene
CYP3A5	GeneProduct	1577	Entrez Gene
SN-38	Metabolite	CHEBI:8988	ChEBI
CES2	GeneProduct	489769	Entrez Gene
ABCG2	GeneProduct	478472	Entrez Gene
Irinotecan	Metabolite	60838	PubChem-compound
CYP3A5	GeneProduct	1577	Entrez Gene
CES1	GeneProduct	403643	Entrez Gene
Irinotecan	Metabolite	60838	PubChem-compound
CES2	GeneProduct	489769	Entrez Gene
CYP3A4	GeneProduct	1576	Entrez Gene
SN-38	Metabolite	CHEBI:8988	ChEBI
