Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
MADD	GeneProduct	ensembl:ENSG00000110514	""	ensembl:ENSG00000110514	ncbigene:8567	hgnc.symbol:MADD	uniprot:A0A0A0MRB5;uniprot:C9J6B0;uniprot:C9K0L0;uniprot:A0A0U1RR25;uniprot:C9JLZ9;uniprot:C9JM97;uniprot:Q8WXG6								
MLPH	GeneProduct	ensembl:ENSG00000115648	""	ensembl:ENSG00000115648	ncbigene:79083	hgnc.symbol:MLPH	uniprot:Q9BV36;uniprot:H7C190;uniprot:H7C2D8;uniprot:A0A024R4D3;uniprot:C9JI01;uniprot:C9JKV5;uniprot:H7C3K9;uniprot:H7C052;uniprot:H7C371								
MYRIP	GeneProduct	ensembl:ENSG00000170011	""	ensembl:ENSG00000170011	ncbigene:25924	hgnc.symbol:MYRIP	uniprot:F8WFC5;uniprot:Q8NFW9								
RPH3A	GeneProduct	ensembl:ENSG00000089169	""	ensembl:ENSG00000089169	ncbigene:22895	hgnc.symbol:RPH3A	uniprot:Q9Y2J0;uniprot:F8VNP7;uniprot:F8W116;uniprot:F8W1K7;uniprot:F8VRJ1;uniprot:F8VTR7;uniprot:F8VV58;uniprot:F8VZS2;uniprot:F8W045;uniprot:F8VR41;uniprot:F8W131;uniprot:F8VP47;uniprot:F8VNU2;uniprot:F8VNW3;uniprot:F8VVK8;uniprot:F8W1A3								
RPH3AL	GeneProduct	ensembl:ENSG00000181031	""	ensembl:ENSG00000181031	ncbigene:9501	hgnc.symbol:RPH3AL	uniprot:I3L181;uniprot:I3L2X0;uniprot:I3L349;uniprot:I3L2G8;uniprot:I3L2N0;uniprot:I3L2I9;uniprot:I3L3M9;uniprot:I3L1Q0;uniprot:Q9UNE2;uniprot:I3L2W0;uniprot:I3L308;uniprot:I3NI49								
SYTL1	GeneProduct	ensembl:ENSG00000142765	""	ensembl:ENSG00000142765	ncbigene:84958	hgnc.symbol:SYTL1	uniprot:A0A087X1N4;uniprot:Q5SSC6;uniprot:Q8IYJ3								
UNC13D	GeneProduct	ensembl:ENSG00000092929	""	ensembl:ENSG00000092929	ncbigene:201294	hgnc.symbol:UNC13D	uniprot:A0A8V8TQ40;uniprot:K7EMK8;uniprot:Q70J99;uniprot:A0A8V8TNT8;uniprot:K7EN29;uniprot:K7EQ37;uniprot:K7EIH3;uniprot:K7ELN2;uniprot:K7EM66;uniprot:A0A8V8TNE8;uniprot:A0A8V8TPP8;uniprot:A0A8V8TPN4;uniprot:K7EN81;uniprot:A0A8V8TNG5								
SYTL2	GeneProduct	ensembl:ENSG00000137501	""	ensembl:ENSG00000137501	ncbigene:54843	hgnc.symbol:SYTL2	uniprot:E9PK22;uniprot:A0A1Y8EH08;uniprot:A0A0U1RR07;uniprot:A0A0U1RQH1;uniprot:E9PRW5;uniprot:A0A0U1RRJ3;uniprot:E9PPL3;uniprot:A0A8J9FM55;uniprot:E9PIB5;uniprot:E9PS39;uniprot:E9PS29;uniprot:E9PQL8;uniprot:Q9HCH5								
EXPH5	GeneProduct	ensembl:ENSG00000110723	""	ensembl:ENSG00000110723	ncbigene:23086	hgnc.symbol:EXPH5	uniprot:E9PIT1;uniprot:A0A087WZJ0;uniprot:Q8NEV8;uniprot:E9PPH6;uniprot:F5GXG5								
SYTL3	GeneProduct	ensembl:ENSG00000164674	""	ensembl:ENSG00000164674	ncbigene:94120	hgnc.symbol:SYTL3	uniprot:Q4VX76								
SYTL4	GeneProduct	ensembl:ENSG00000102362	""	ensembl:ENSG00000102362	ncbigene:94121	hgnc.symbol:SYTL4	uniprot:A0A024RCF8;uniprot:Q96C24								
SYTL5	GeneProduct	ensembl:ENSG00000147041	""	ensembl:ENSG00000147041	ncbigene:94122	hgnc.symbol:SYTL5	uniprot:Q8TDW5								
TBC1D10A	GeneProduct	ensembl:ENSG00000099992	""	ensembl:ENSG00000099992	ncbigene:83874	hgnc.symbol:TBC1D10A	uniprot:F8W9Y7;uniprot:Q9BXI6;uniprot:F8WDN6;uniprot:F8WCD1;uniprot:B5MD46								
RAB27A	GeneProduct	ensembl:ENSG00000069974	""	ensembl:ENSG00000069974	ncbigene:5873	hgnc.symbol:RAB27A	uniprot:H3BVH7;uniprot:P51159;uniprot:A2RU94;uniprot:H3BN55;uniprot:H3BU81;uniprot:H3BS49;uniprot:H3BUD9								
RAB27B	GeneProduct	ensembl:ENSG00000041353	""	ensembl:ENSG00000041353	ncbigene:5874	hgnc.symbol:RAB27B	uniprot:K7EJ38;uniprot:K7ES41;uniprot:O00194								
GCC2	GeneProduct	ensembl:ENSG00000135968	""	ensembl:ENSG00000135968	ncbigene:9648	hgnc.symbol:GCC2	uniprot:U3KPU4;uniprot:B8ZZW2;uniprot:H7BYJ9;uniprot:A0A8I5KW38;uniprot:A0A8I5KVA2;uniprot:A0A8I5QJB7;uniprot:B8ZZA5;uniprot:U3KQE0;uniprot:Q8IWJ2								
