Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Angiotensin I	Metabolite	pubchem.compound:3081372	""					wikidata:Q539799	chebi:2718;chebi:147350	inchikey:ORWYRWWVDCYOMK-HBZPZAIKSA-N	pubchem.compound:90657349;pubchem.compound:3081372	chemspider:23150106	hmdb:HMDB0061196	kegg.compound:C00873	
Aldosterone	Metabolite	kegg.compound:C01780	""					wikidata:Q184564	chebi:27584	inchikey:PQSUYGKTWSAVDQ-ZVIOFETBSA-N	pubchem.compound:5839	chemspider:5633	hmdb:HMDB0000037	kegg.compound:C01780	lipidmaps:LMST02030026
Bradykinin	Metabolite	hmdb:HMDB0004246	""						chebi:3165	inchikey:QXZGBUJJYSLZLT-FDISYFBBSA-N	pubchem.compound:439201	chemspider:388341	hmdb:HMDB0004246	kegg.compound:C00306	
Angiotensin II	Metabolite	hmdb:HMDB0001035	""						chebi:2719	inchikey:CZGUSIXMZVURDU-JZXHSEFVSA-N	pubchem.compound:172198	chemspider:150504	hmdb:HMDB0001035	kegg.compound:C02135	
AGT	GeneProduct	ncbigene:421543	""	ensembl:ENSGALG00010007759	ncbigene:421543										
ACE	GeneProduct	ncbigene:419953	""	ensembl:ENSGALG00010023369	ncbigene:419953										
KNG1	GeneProduct	ncbigene:424957	""	ensembl:ENSGALG00010016206	ncbigene:424957	hgnc.symbol:KNG1									
AGTR1	GeneProduct	ncbigene:396065	""	ensembl:ENSGALG00010017056	ncbigene:396065		uniprot:P79785								
AGTR2	GeneProduct	ncbigene:428708	""	ensembl:ENSGALG00010018860	ncbigene:428708	hgnc.symbol:AGTR2									
BDKRB2	GeneProduct	ncbigene:428906	""	ensembl:ENSGALG00010015588	ncbigene:428906										
