Label	Type	ID	Database	
SLC47A2	GeneProduct	ENSG00000180638	Ensembl
ABCG2	GeneProduct	ENSG00000118777	Ensembl
SLC7A8	GeneProduct	ENSG00000092068	Ensembl
SLC47A1	GeneProduct	ENSG00000142494	Ensembl
Cys	Metabolite	17376	ChEBI
organic anion	Metabolite	25696	ChEBI
organic cation	Metabolite	CHEBI:25697	ChEBI
ATP6V0D2	GeneProduct	ENSG00000147614	Ensembl
ATP6V0E1	GeneProduct	ENSG00000113732	Ensembl
SLC22A2	GeneProduct	ENSG00000112499	Ensembl
SLC7A9	GeneProduct	ENSG00000021488	Ensembl
SLC5A2	GeneProduct	ENSG00000140675	Ensembl
Pro	Metabolite	26271	ChEBI
ATP1B1	GeneProduct	ENSG00000143153	Ensembl
CA4	GeneProduct	ENSG00000167434	Ensembl
SLC34A1	GeneProduct	ENSG00000131183	Ensembl
ATP6V1D	GeneProduct	ENSG00000100554	Ensembl
oxalate(2-)	Metabolite	30623	ChEBI
SLC1A1	GeneProduct	ENSG00000106688	Ensembl
SLC5A8	GeneProduct	ENSG00000256870	Ensembl
SLC6A20	GeneProduct	ENSG00000163817	Ensembl
SLC4A4	GeneProduct	ENSG00000080493	Ensembl
formate	Metabolite	15740	ChEBI
ATP6V1H	GeneProduct	ENSG00000047249	Ensembl
SLC12A4	GeneProduct	ENSG00000124067	Ensembl
ATP6V0A4	GeneProduct	ENSG00000105929	Ensembl
I-	Metabolite	16382	ChEBI
Lactate	Metabolite	24996	ChEBI
Na+	Metabolite	29101	ChEBI
ATP6V1A	GeneProduct	ENSG00000114573	Ensembl
SLC22A11	GeneProduct	ENSG00000168065	Ensembl
SLC3A2	GeneProduct	ENSG00000168003	Ensembl
TMEM27	GeneProduct	ENSG00000147003	Ensembl
ATP6V0B	GeneProduct	ENSG00000117410	Ensembl
urate	Metabolite	46818	ChEBI
SLC16A10	GeneProduct	ENSG00000112394	Ensembl
SLC2A1	GeneProduct	ENSG00000117394	Ensembl
ATP6V1G1	GeneProduct	ENSG00000136888	Ensembl
SLC34A3	GeneProduct	ENSG00000198569	Ensembl
Gly	Metabolite	15428	ChEBI
ABCC4	GeneProduct	ENSG00000125257	Ensembl
ATP1A1	GeneProduct	ENSG00000163399	Ensembl
Ala	Metabolite	16449	ChEBI
SLC9A3	GeneProduct	ENSG00000066230	Ensembl
HPO4 2-	Metabolite	43474	ChEBI
ABCB1	GeneProduct	ENSG00000085563	Ensembl
SLC5A5	GeneProduct	ENSG00000105641	Ensembl
FXYD2	GeneProduct	ENSG00000137731	Ensembl
SLC7A7	GeneProduct	ENSG00000155465	Ensembl
SLC6A19	GeneProduct	ENSG00000174358	Ensembl
OH-	Metabolite	16234	ChEBI
