Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
HCO₃⁻	Metabolite	chebi:17544	""					wikidata:Q409202	chebi:17544	inchikey:BVKZGUZCCUSVTD-UHFFFAOYSA-M	pubchem.compound:22647601;pubchem.compound:769	chemspider:749	hmdb:HMDB0000595	kegg.compound:C00288	
ATP	Metabolite	chebi:30616	""					wikidata:Q27113900	chebi:30616	inchikey:ZKHQWZAMYRWXGA-KQYNXXCUSA-J	pubchem.compound:5461108	chemspider:4574455			
Pyruvate	Metabolite	chebi:15361	""					wikidata:Q27089397	chebi:15361	inchikey:LCTONWCANYUPML-UHFFFAOYSA-M	pubchem.compound:107735	chemspider:96901		kegg.compound:C00022	
UDP-D-glucose	Metabolite	chebi:18066	""					wikidata:Q27102800	chebi:18066	inchikey:HSCJRCZFDFQWRP-RDKQLNKOSA-N	pubchem.compound:439156	chemspider:388302		kegg.compound:C00029	
H⁺	Metabolite	chebi:15378	""					wikidata:Q506710	chebi:15378	inchikey:GPRLSGONYQIRFK-UHFFFAOYSA-N	pubchem.compound:1038	chemspider:1010	hmdb:HMDB0059597	kegg.compound:C00080	
CO₂	Metabolite	chebi:16526	""					wikidata:Q1997	chebi:16526	inchikey:CURLTUGMZLYLDI-UHFFFAOYSA-N	pubchem.compound:280	chemspider:274	hmdb:HMDB0001967	kegg.compound:C00011	
D-Glucose 1-phosphate	Metabolite	chebi:16077	""					wikidata:Q27098367	chebi:16077	inchikey:HXXFSFRBOHSIMQ-GASJEMHNSA-N	pubchem.compound:439165	chemspider:388311			
Glucose	Metabolite	chebi:17234	""					wikidata:Q37525	chebi:17234					kegg.compound:C00293	
Na⁺	Metabolite	chebi:29101	""					wikidata:Q3154110	chebi:29101	inchikey:FKNQFGJONOIPTF-UHFFFAOYSA-N	pubchem.compound:923	chemspider:899	hmdb:HMDB0000588	kegg.compound:C01330	
ADP	Metabolite	chebi:456216	""					wikidata:Q27225748	chebi:456216	inchikey:XTWYTFMLZFPYCI-KQYNXXCUSA-K	pubchem.compound:7058055	chemspider:5414423			
Lactate	Metabolite	chebi:24996	""					wikidata:Q27895931	chebi:24996	inchikey:JVTAAEKCZFNVCJ-UHFFFAOYSA-M	pubchem.compound:91435	chemspider:82564		kegg.compound:C01432	
D-Glucose 6-phosphate	Metabolite	chebi:4170	""					wikidata:Q36461529	chebi:4170	inchikey:NBSCHQHZLSJFNQ-GASJEMHNSA-N	pubchem.compound:5958	chemspider:5743;chemspider:17216117	hmdb:HMDB0001401	kegg.compound:C00092	
OH-	Metabolite	chebi:16234	""					wikidata:Q199877	chebi:16234	inchikey:XLYOFNOQVPJJNP-UHFFFAOYSA-M	pubchem.compound:961	chemspider:936	hmdb:HMDB0001039	kegg.compound:C01328	
O₂	Metabolite	chebi:15379	""					wikidata:Q5203615	chebi:15379	inchikey:MYMOFIZGZYHOMD-UHFFFAOYSA-N	pubchem.compound:977	chemspider:952	hmdb:HMDB0001377	kegg.compound:C00007	
Glycogen	Metabolite	chebi:28087	""					wikidata:Q174936	chebi:28087	inchikey:BYSGBSNPRWKUQH-UJDJLXLFSA-N	pubchem.compound:439177	chemspider:388322	hmdb:HMDB0000757	kegg.compound:C00182	
K⁺	Metabolite	chebi:29103	""					wikidata:Q15901933	chebi:29103	inchikey:NPYPAHLBTDXSSS-UHFFFAOYSA-N	pubchem.compound:813	chemspider:791	hmdb:HMDB0000586	kegg.compound:C00238	
NADPH	Metabolite	hmdb:HMDB00221	""					wikidata:Q26841327	chebi:16474	inchikey:ACFIXJIJDZMPPO-NNYOXOHSSA-N	pubchem.compound:5884	chemspider:5673	hmdb:HMDB0000221	kegg.compound:C00005	
Glutamine	Metabolite	chebi:28300	""					wikidata:Q27103623	chebi:28300	inchikey:RSOHUXCZIQMEMQ-JLHYYAGUSA-N;inchikey:ZDXPYRJPNDTMRX-UHFFFAOYSA-N	pubchem.compound:738;pubchem.compound:25244553	chemspider:718	hmdb:HMDB0030886	kegg.compound:C00303	
Glutamate	Metabolite	chebi:14321	""					wikidata:Q27108980	chebi:14321	inchikey:WHUUTDBJXJRKMK-UHFFFAOYSA-M	pubchem.compound:4452358;pubchem.compound:4179667;pubchem.compound:4525487	chemspider:3390755			
Ammonia	Metabolite	chebi:16134	""					wikidata:Q4087	chebi:16134	inchikey:RUVUHIUYGJBLGI-AXAJWWPKSA-N;inchikey:QGZKDVFQNNGYKY-UHFFFAOYSA-N	pubchem.compound:222	chemspider:217	hmdb:HMDB0033934;hmdb:HMDB0000051	kegg.compound:C00014	
HCO3⁻	Metabolite	chebi:17544	""					wikidata:Q409202	chebi:17544	inchikey:BVKZGUZCCUSVTD-UHFFFAOYSA-M	pubchem.compound:22647601;pubchem.compound:769	chemspider:749	hmdb:HMDB0000595	kegg.compound:C00288	
LDHA	GeneProduct	ensembl:ENSG00000134333	""	ensembl:ENSG00000134333	ncbigene:3939	hgnc.symbol:LDHA	uniprot:F5GXC7;uniprot:V9HWB9;uniprot:F5GZQ4;uniprot:P00338;uniprot:F5H5J4;uniprot:F5GXU1;uniprot:F5GXY2;uniprot:F5GWW2;uniprot:F5GXH2;uniprot:F5H8H6;uniprot:F5GYU2;uniprot:F5H6W8								
LDHB	GeneProduct	uniprot:P07195	""	ensembl:ENSG00000111716	ncbigene:3945	hgnc.symbol:LDHB	uniprot:P07195;uniprot:Q5U077;uniprot:F5H793;uniprot:A0A5F9ZHM4;uniprot:A8MW50;uniprot:C9J7H8								
NBC1	Protein	uniprot:Q9Y6R1	""	ensembl:ENSG00000080493	ncbigene:8671	hgnc.symbol:SLC4A4	uniprot:A0A8V8TNB1;uniprot:A0A1W2PRU6;uniprot:A5JJ20;uniprot:Q9Y6R1;uniprot:A0A1W2PNW8								
GLS	Protein	uniprot:o94925	""												
SLC16A3	Protein	uniprot:O15427	""	ensembl:ENSG00000141526	ncbigene:9123	hgnc.symbol:SLC16A3	uniprot:J3QQS9;uniprot:J3KTM6;uniprot:J3QSC3;uniprot:J3QRA0;uniprot:O15427;uniprot:A0A024R8U1;uniprot:J3QQV2;uniprot:J3KTI8;uniprot:J3QRP8								
CA4	Protein	uniprot:P22748	"'CAIV' originally"	ensembl:ENSG00000167434	ncbigene:762	hgnc.symbol:CA4	uniprot:P22748;uniprot:K7EIH9;uniprot:K7ENI8;uniprot:K7EKY5								
SLC16A7	Protein	uniprot:O60669	""	ensembl:ENSG00000118596	ncbigene:9194	hgnc.symbol:SLC16A7	uniprot:F8VVU7;uniprot:F8W1M4;uniprot:F8VXG4;uniprot:A0A024RBB2;uniprot:F8VS95;uniprot:F8W0U4;uniprot:F8W0N3;uniprot:F8VQS4;uniprot:O60669;uniprot:F8VYZ2								
SLC1A2	Protein	uniprot:P43004	""	ensembl:ENSG00000110436	ncbigene:6506	hgnc.symbol:SLC1A2	uniprot:A0A2R8YH93;uniprot:A0A2R8Y4D1;uniprot:A0A2R8Y6J5;uniprot:A0A2U3TZS7;uniprot:A0A2U3U0E3;uniprot:A0A2R8YD46;uniprot:A0A2R8YG01;uniprot:P43004;uniprot:A0A2R8Y4W1;uniprot:A0A2R8YCL7;uniprot:A2A2U1;uniprot:H0YEK4;uniprot:A0A2R8Y5Y1;uniprot:A0A2R8Y6B8;uniprot:A0A2R8Y740;uniprot:A0A2R8YHI4;uniprot:A0A2R8Y860;uniprot:C9J9N5;uniprot:A0A2R8Y4N0;uniprot:A0A163QEF0;uniprot:A0A2R8Y642;uniprot:A0A2R8Y862;uniprot:A0A2R8YFE3;uniprot:H0YEB1								
Na+ K+ ATPase	Protein	uniprot:p50993	""												
UDPGPP	Protein	uniprot:O95848	""	ensembl:ENSG00000183828	ncbigene:256281	hgnc.symbol:NUDT14	uniprot:F8VU44;uniprot:O95848								
CA2	Protein	uniprot:P00918	"'CAII' originally"	ensembl:ENSG00000104267	ncbigene:760	hgnc.symbol:CA2	uniprot:E5RID5;uniprot:V9HW21;uniprot:E5RK37;uniprot:P00918								
GLUL	Protein	uniprot:p15104	"'GS' originally"												
