Label	Type	ID	Database	Comment
MAPK signalling pathway	Pathway			
Contraction (myometrial cell, mammary gland myoepithelial cell)	Pathway			
PLC	Protein	P51178	uniprot:P51178	
OXTR	Protein	P30559	uniprot:P30559	
Oxytocin release (OXT neurons)	Pathway			
Ca2+	Metabolite	CHEBI:29108	chebi:29108	
PKCisozyme family	Protein	2.7.11.13	eccode:2.7.11.13	
CD38	Protein	P28907	uniprot:P28907	
Gq	Protein	P50148	uniprot:P50148	
Protein synthesis	Pathway			
Oxytocin	Metabolite	CHEBI:7872	chebi:7872	
IP3	Metabolite	439456	pubchem.compound:439456	
DAG	Metabolite	CHEBI:49172	chebi:49172	
