Label	Type	Identifier	Database	Comment	Ensembl	NCBI.gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Triglycerides	Metabolite	CHEBI:17855	chebi:17855						Wd:Q186319	Ce:17855;Ce:CHEBI:1785	
Phospholipid	Metabolite	CHEBI:16247	chebi:16247						Wd:Q186915	Ce:16247;Ce:CHEBI:1624	
Free FA	Metabolite	CHEBI:35366	chebi:35366						Wd:Q61476	Ce:CHEBI:35366;Ce:3536	
Cholesterol Ester	Metabolite	CHEBI:17002	chebi:17002						Wd:Q415555	Ce:CHEBI:17002;Ce:1700	
Cholesterol	Metabolite	HMDB0000067	hmdb:HMDB0000067							Ce:CHEBI:16113;Ce:1611	Ik:HVYWMOMLDIMFJA-DPAQBDIFSA-N
Cholesterol	Metabolite	HMDB0000067	hmdb:HMDB0000067							Ce:CHEBI:16113;Ce:1611	Ik:HVYWMOMLDIMFJA-DPAQBDIFSA-N
Statin	Metabolite	CHEBI:87631	chebi:87631						Wd:Q954845	Ce:87631;Ce:CHEBI:8763	
Cholic acid	Metabolite	HMDB0000619	hmdb:HMDB0000619							Ce:16359;Ce:CHEBI:1635	Ik:BHQCQFFYRZLCQQ-OELDTZBJSA-N
Acetyl-CoA	Metabolite	HMDB0001206	hmdb:HMDB0001206							Ce:CHEBI:15351;Ce:1535	Ik:ZSLZBFCDCINBPY-ZSJPKINUSA-N
Lrp1	GeneProduct	16971	ncbigene:16971		En:ENSMUSG00000040249	L:16971		S:F6UAC8;S:Q3U5J2;S:A0A0R4J0I9;S:D3Z5M3;S:F6XU1			
Apoc3	GeneProduct	11814	ncbigene:11814		En:ENSMUSG00000032081	L:11814		S:D3YXN8;S:A0A0R4J1N3;S:E9QP5			
Apoc2	GeneProduct	11813	ncbigene:11813		En:ENSMUSG00000002992	L:11813		S:Q3UJG0;S:Q0502			
Lipc	GeneProduct	15450	ncbigene:15450		En:ENSMUSG00000032207	L:15450		S:P27656;S:Q3TYU0;S:A0A1L1SRU			
Cetp	GeneProduct	1071	ncbigene:1071								
Apoa4	GeneProduct	11808	ncbigene:11808		En:ENSMUSG00000032080	L:11808		S:P06728			
Dgat1	GeneProduct	13350	ncbigene:13350		En:ENSMUSG00000022555	L:13350		S:Q54AA6;S:Q9Z2A			
Lpl	GeneProduct	16956	ncbigene:16956		En:ENSMUSG00000015568	L:16956		S:P11152			
Scarb1	GeneProduct	20778	ncbigene:20778		En:ENSMUSG00000037936	L:20778		S:F7C5U2;S:Q61009;S:D3Z5U			
Pltp	GeneProduct	18830	ncbigene:18830		En:ENSMUSG00000017754	L:18830		S:A2A5K3;S:A2A5K4;S:P55065;S:Q3UFS5;S:A2A5K			
Ldlr	GeneProduct	16835	ncbigene:16835		En:ENSMUSG00000032193	L:16835		S:A0A1L1SRE8;S:P3595			
Abca1	GeneProduct	11303	ncbigene:11303		En:ENSMUSG00000015243	L:11303		S:P41233			
Cyp7a1	GeneProduct	13122	ncbigene:13122		En:ENSMUSG00000028240	L:13122		S:Q64505			
Hmgcr	GeneProduct	15357	ncbigene:15357		En:ENSMUSG00000021670	L:15357		S:E9PVG9;S:E9Q149;S:Q01237;S:E9PY17;S:E9Q5H3;S:F7CA39;S:F2Z470;S:F6X16			
Apoa1	GeneProduct	11806	ncbigene:11806		En:ENSMUSG00000032083	L:11806		S:A0A1L1STX7;S:Q0062			
Soat1	GeneProduct	20652	ncbigene:20652		En:ENSMUSG00000026600	L:20652		S:A0A087WSJ5;S:Q61263;S:A0A087WNN			
Lcat	GeneProduct	16816	ncbigene:16816		En:ENSMUSG00000035237	L:16816		S:P16301			
Mttp	GeneProduct	17777	ncbigene:17777		En:ENSMUSG00000028158	L:17777		S:O08601			
Apoc1	GeneProduct	11812	ncbigene:11812		En:ENSMUSG00000040564	L:11812		S:P34928;S:A0A140LIY			
Apoe	GeneProduct	11816	ncbigene:11816		En:ENSMUSG00000002985	L:11816		S:G3UWN5;S:Q3TXU4;S:P08226;S:G3UWW2;S:G3UZM8;S:A0A1B0GX1			
