Label	Type	ID	Database	
p38/MAPK 
pathway	Pathway	WP400	WikiPathways
IL1R1	GeneProduct	ENSBTAG00000005273	Ensembl
F2R	GeneProduct	ENSBTAG00000020199	Ensembl
ICAM1	GeneProduct	ENSBTAG00000010303	Ensembl
IL1B	GeneProduct	ENSBTAG00000001321	Ensembl
TIMP2	GeneProduct	ENSBTAG00000010899	Ensembl
SELENBP1	GeneProduct	ENSBTAG00000008091	Ensembl
MMP9	GeneProduct	ENSBTAG00000020676	Ensembl
PLA2G7	GeneProduct	ENSBTAG00000019315	Ensembl
IRAK1	GeneProduct	ENSBTAG00000016085	Ensembl
TLR1	GeneProduct		
IL18	GeneProduct	ENSBTAG00000000277	Ensembl
MYD88	GeneProduct	ENSBTAG00000000563	Ensembl
TIMP1	GeneProduct	ENSBTAG00000005043	Ensembl
CCR3	GeneProduct	ENSBTAG00000001338	Ensembl
PIK3CA	GeneProduct	ENSBTAG00000009232	Ensembl
NLRP3	GeneProduct	ENSBTAG00000001273	Ensembl
FCER1A	GeneProduct	ENSBTAG00000012887	Ensembl
MYD88	GeneProduct	ENSBTAG00000000563	Ensembl
F2	GeneProduct	ENSBTAG00000007148	Ensembl
IFNG	GeneProduct	ENSBTAG00000012529	Ensembl
S100A9	GeneProduct	ENSBTAG00000006505	Ensembl
HBEGF	GeneProduct	ENSBTAG00000021766	Ensembl
CCL2	GeneProduct	ENSBTAG00000037811	Ensembl
TLR2	GeneProduct	ENSBTAG00000008008	Ensembl
ERK
pathway	Pathway		
MMP9	GeneProduct	ENSBTAG00000020676	Ensembl
IL1R1	GeneProduct	ENSBTAG00000005273	Ensembl
NFKB1	GeneProduct	ENSBTAG00000020270	Ensembl
IL1B	GeneProduct	ENSBTAG00000001321	Ensembl
IL1R1	GeneProduct	ENSBTAG00000005273	Ensembl
