Label	Type	ID	Database	
SEMA4D dimer	Complex	REACT_19817	Reactome
SEMA4D	Protein	ENSBTAG00000001941	Ensembl
ATP	Metabolite	CHEBI:15422	ChEBI
Plexin-B1:ErbB2	Complex	REACT_19954	Reactome
ERBB2	Protein	ENSBTAG00000021798	Ensembl
PLXNB1	Protein	ENSBTAG00000013407	Ensembl
ADP	Metabolite	CHEBI:16761	ChEBI
SEMA4D:pPlexin-B1:ErbB2
complex	Complex	REACT_20256	Reactome
SEMA4D	Protein	ENSBTAG00000001941	Ensembl
PLXNB1	Protein	ENSBTAG00000013407	Ensembl
ERBB2	Protein	ENSBTAG00000021798	Ensembl
Sema4D:pPlexin-B1:ErbB2:Rac1:Rnd1	Complex	REACT_19890	Reactome
SEMA4D	Protein	ENSBTAG00000001941	Ensembl
PLXNB1	Protein	ENSBTAG00000013407	Ensembl
ERBB2	Protein	ENSBTAG00000021798	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
RND1	Protein	ENSBTAG00000018773	Ensembl
LARG and PDZ-RhoGEF	Protein		
Sema4D:Plexin-B1:Rac-Rnd1:LARG/PDZ-RhoGEF	Complex	REACT_20349	Reactome
SEMA4D	Protein	ENSBTAG00000001941	Ensembl
PLXNB1	Protein	ENSBTAG00000013407	Ensembl
ERBB2	Protein	ENSBTAG00000021798	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
RND1	Protein	ENSBTAG00000018773	Ensembl
ARHGEF11	Protein	ENSBTAG00000012361	Ensembl
ARHGEF12	Protein	ENSBTAG00000021343	Ensembl
RhoA,B,C:GDP	Complex	REACT_20118	Reactome
GDP [plasma
membrane]	Metabolite	CHEBI:17552	ChEBI
RHOA	Protein	ENSBTAG00000004279	Ensembl
RHOB	Protein	ENSBTAG00000046054	Ensembl
RHOC	Protein	ENSBTAG00000014299	Ensembl
GTP	Metabolite	CHEBI:15996	ChEBI
GDP	Metabolite	CHEBI:17552	ChEBI
RhoA/B/C:GTP	Complex	REACT_19589	Reactome
GTP [plasma
membrane]	Metabolite	CHEBI:15996	ChEBI
RHOA	Protein	ENSBTAG00000004279	Ensembl
RHOB	Protein	ENSBTAG00000046054	Ensembl
RHOC	Protein	ENSBTAG00000014299	Ensembl
ROCK	Protein		
Activated
ROCK:RhoA/B/C:GTP	Complex	REACT_19928	Reactome
GTP [plasma
membrane]	Metabolite	CHEBI:15996	ChEBI
RHOA	Protein	ENSBTAG00000004279	Ensembl
RHOB	Protein	ENSBTAG00000046054	Ensembl
RHOC	Protein	ENSBTAG00000014299	Ensembl
ROCK1	Protein	ENSBTAG00000008403	Ensembl
ROCK2	Protein	ENSBTAG00000005847	Ensembl
ATP	Metabolite	CHEBI:15422	ChEBI
Smooth
muscle/non-muscle
myosin II	Complex	REACT_19969	Reactome
MYH10	Protein	ENSBTAG00000021151	Ensembl
MYH14	Protein	ENSBTAG00000002580	Ensembl
MYH9	Protein	ENSBTAG00000010402	Ensembl
MYH11	Protein	ENSBTAG00000015988	Ensembl
MYL6	Protein	ENSBTAG00000010799	Ensembl
MYL9	Protein	ENSBTAG00000011473	Ensembl
MYL12B	Protein	ENSBTAG00000026266	Ensembl
ADP	Metabolite	CHEBI:16761	ChEBI
Phospho-activated
smooth
muscle/non-muscle
myosin 2	Complex	REACT_19704	Reactome
MYH10	Protein	ENSBTAG00000021151	Ensembl
MYH14	Protein	ENSBTAG00000002580	Ensembl
MYH9	Protein	ENSBTAG00000010402	Ensembl
MYH11	Protein	ENSBTAG00000015988	Ensembl
MYL6	Protein	ENSBTAG00000010799	Ensembl
MYL12B	Protein	ENSBTAG00000026266	Ensembl
MYL9	Protein	ENSBTAG00000011473	Ensembl
ATP	Metabolite	CHEBI:15422	ChEBI
LIM Kinases	Protein		
ADP	Metabolite	CHEBI:16761	ChEBI
LIM Kinases,
phosphorylated	Protein		
ATP	Metabolite	CHEBI:15422	ChEBI
Plexin-B1:Met	Complex	REACT_19866	Reactome
C-MET	Protein	ENSBTAG00000006161	Ensembl
PLXNB1	Protein	ENSBTAG00000013407	Ensembl
ADP	Metabolite	CHEBI:16761	ChEBI
Sema4D:pPlexin-B1:Met	Complex	REACT_19905	Reactome
SEMA4D	Protein	ENSBTAG00000001941	Ensembl
C-MET	Protein	ENSBTAG00000006161	Ensembl
PLXNB1	Protein	ENSBTAG00000013407	Ensembl
Sema4D:pPlexin-B1:Met:RAC1-GTP	Complex	REACT_20028	Reactome
SEMA4D	Protein	ENSBTAG00000001941	Ensembl
C-MET	Protein	ENSBTAG00000006161	Ensembl
PLXNB1	Protein	ENSBTAG00000013407	Ensembl
RAC1	Protein	ENSBTAG00000009233	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
Rnd1-GTP	Complex	REACT_20300	Reactome
