ID	Database	Citation
9642287	Pubmed	"Phosphorylation of CrkII adaptor protein at tyrosine 221 by epidermal growth factor receptor. Hashimoto Y, Katayama H, Kiyokawa E, Ota S, Kurata T, Gotoh N, et al. J Biol Chem. 1998 Jul 3;273(27):17186–91.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9642287"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9642287"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9642287"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
9872057	Pubmed	"The Nck SH2/SH3 adaptor protein: a regulator of multiple intracellular signal transduction events. McCarty JH. Bioessays. 1998 Nov;20(11):913–21.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9872057"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9872057"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9872057"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
10490623	Pubmed	"Controlled dimerization of ErbB receptors provides evidence for differential signaling by homo- and heterodimers. Muthuswamy SK, Gilman M, Brugge JS. Mol Cell Biol. 1999 Oct;19(10):6845–57.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10490623"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10490623"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10490623"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
10880430	Pubmed	"The ErbB signaling network: receptor heterodimerization in development and cancer. Olayioye MA, Neve RM, Lane HA, Hynes NE. EMBO J. 2000 Jul 3;19(13):3159–67.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10880430"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10880430"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10880430"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11252954	Pubmed	"Untangling the ErbB signalling network. Yarden Y, Sliwkowski MX. Nat Rev Mol Cell Biol. 2001 Feb;2(2):127–37.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11252954"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11252954"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11252954"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12851486	Pubmed	"Multiple roles of the PI3K/PKB (Akt) pathway in cell cycle progression. Liang J, Slingerland JM. Cell Cycle. 2003;2(4):339–45.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12851486"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12851486"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12851486"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
14744244	Pubmed	"ErbB receptors: directing key signaling networks throughout life. Holbro T, Hynes NE. Annu Rev Pharmacol Toxicol. 2004;44:195–217.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/14744244"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/14744244"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/14744244"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
14967450	Pubmed	"Signal transduction and oncogenesis by ErbB/HER receptors. Marmor MD, Skaria KB, Yarden Y. Int J Radiat Oncol Biol Phys. 2004 Mar 1;58(3):903–13.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/14967450"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/14967450"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/14967450"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
15863494	Pubmed	"ERBB4/HER4 potentiates STAT5A transcriptional activity by regulating novel STAT5A serine phosphorylation events. Clark DE, Williams CC, Duplessis TT, Moring KL, Notwick AR, Long W, et al. J Biol Chem. 2005 Jun 24;280(25):24175–80.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15863494"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/15863494"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/15863494"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
15864276	Pubmed	"ERBB receptors and cancer: the complexity of targeted inhibitors. Hynes NE, Lane HA. Nat Rev Cancer. 2005 May;5(5):341–54.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15864276"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/15864276"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/15864276"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
